L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
L;(0.997, 1.333, -13.015);(0.997, 1.332, -13.019);0,004;(40.636, 57.167, 63.620);(42.039, 60.352, 63.925);-0,9995842;(0.429, 0.604, 0.672);(0.431, 0.619, 0.656)
L;(0.996, 1.334, -13.011);(0.997, 1.332, -13.019);0,008;(39.592, 55.190, 64.080);(42.039, 60.352, 63.925);-0,9987168;(0.424, 0.591, 0.686);(0.431, 0.619, 0.656)
L;(0.996, 1.334, -13.011);(0.997, 1.332, -13.019);0,008;(39.592, 55.190, 64.080);(42.039, 60.352, 63.925);-0,9987168;(0.424, 0.591, 0.686);(0.431, 0.619, 0.656)
L;(0.996, 1.334, -13.012);(0.997, 1.332, -13.019);0,007;(39.695, 55.369, 64.085);(42.039, 60.352, 63.925);-0,9988049;(0.424, 0.592, 0.685);(0.431, 0.619, 0.656)
L;(0.996, 1.334, -13.012);(0.997, 1.332, -13.019);0,007;(39.695, 55.369, 64.085);(42.039, 60.352, 63.925);-0,9988049;(0.424, 0.592, 0.685);(0.431, 0.619, 0.656)
L;(0.995, 1.334, -13.011);(0.997, 1.332, -13.019);0,008;(39.722, 54.326, 63.282);(42.039, 60.352, 63.925);-0,9985905;(0.430, 0.588, 0.685);(0.431, 0.619, 0.656)
L;(0.992, 1.335, -13.008);(0.997, 1.332, -13.019);0,012;(39.999, 52.452, 63.134);(42.039, 60.352, 63.925);-0,9977542;(0.438, 0.574, 0.691);(0.431, 0.619, 0.656)
L;(0.992, 1.335, -13.008);(0.997, 1.332, -13.019);0,012;(39.999, 52.452, 63.134);(42.039, 60.352, 63.925);-0,9977542;(0.438, 0.574, 0.691);(0.431, 0.619, 0.656)
L;(0.990, 1.334, -13.007);(0.997, 1.332, -13.019);0,013;(40.228, 53.252, 62.686);(42.039, 60.352, 63.925);-0,9983385;(0.439, 0.582, 0.685);(0.431, 0.619, 0.656)
L;(0.990, 1.334, -13.007);(0.997, 1.332, -13.019);0,013;(40.228, 53.252, 62.686);(42.039, 60.352, 63.925);-0,9983385;(0.439, 0.582, 0.685);(0.431, 0.619, 0.656)
L;(0.990, 1.334, -13.007);(0.997, 1.332, -13.019);0,013;(40.228, 53.252, 62.686);(42.039, 60.352, 63.925);-0,9983385;(0.439, 0.582, 0.685);(0.431, 0.619, 0.656)
L;(0.987, 1.334, -13.010);(0.997, 1.332, -13.019);0,014;(39.337, 54.261, 63.179);(42.039, 60.352, 63.925);-0,9985142;(0.427, 0.589, 0.686);(0.431, 0.619, 0.656)
L;(0.984, 1.336, -13.007);(0.997, 1.332, -13.019);0,018;(40.242, 52.760, 63.922);(42.039, 60.352, 63.925);-0,9976844;(0.437, 0.573, 0.694);(0.431, 0.619, 0.656)
L;(0.984, 1.336, -13.007);(0.997, 1.332, -13.019);0,018;(40.242, 52.760, 63.922);(42.039, 60.352, 63.925);-0,9976844;(0.437, 0.573, 0.694);(0.431, 0.619, 0.656)
L;(0.984, 1.336, -13.007);(0.997, 1.332, -13.019);0,018;(40.398, 52.149, 63.718);(42.039, 60.352, 63.925);-0,99742;(0.440, 0.569, 0.695);(0.431, 0.619, 0.656)
L;(0.984, 1.336, -13.007);(0.997, 1.332, -13.019);0,018;(40.398, 52.149, 63.718);(42.039, 60.352, 63.925);-0,99742;(0.440, 0.569, 0.695);(0.431, 0.619, 0.656)
L;(0.983, 1.337, -13.005);(0.997, 1.332, -13.019);0,020;(39.899, 50.813, 63.133);(42.039, 60.352, 63.925);-0,9967164;(0.442, 0.563, 0.699);(0.431, 0.619, 0.656)
