L/R;Position Real;Rotation Real;Rotation Real Normalized
R;(0.975, 1.301, -13.308);(295.037, 191.841, 24.285);(0.836, 0.544, 0.069)
R;(0.976, 1.300, -13.308);(295.354, 191.756, 24.690);(0.837, 0.543, 0.070)
R;(0.976, 1.299, -13.308);(295.424, 191.530, 23.944);(0.837, 0.543, 0.068)
R;(0.975, 1.299, -13.308);(295.253, 192.231, 22.025);(0.836, 0.545, 0.062)
R;(0.975, 1.299, -13.307);(295.165, 193.561, 20.356);(0.835, 0.547, 0.058)
R;(0.977, 1.298, -13.307);(295.165, 193.643, 20.991);(0.835, 0.548, 0.059)
R;(0.977, 1.297, -13.306);(295.078, 193.481, 21.628);(0.835, 0.547, 0.061)
R;(0.977, 1.297, -13.305);(294.589, 193.416, 21.030);(0.834, 0.548, 0.060)
R;(0.977, 1.296, -13.304);(294.091, 193.363, 21.059);(0.834, 0.548, 0.060)
R;(0.978, 1.295, -13.303);(293.703, 193.257, 21.381);(0.834, 0.549, 0.061)
R;(0.978, 1.294, -13.303);(293.809, 193.721, 20.735);(0.833, 0.550, 0.059)
R;(0.979, 1.293, -13.302);(294.192, 194.208, 20.096);(0.833, 0.550, 0.057)
R;(0.980, 1.292, -13.302);(294.483, 194.603, 20.068);(0.833, 0.550, 0.057)
R;(0.981, 1.292, -13.301);(294.432, 195.380, 19.549);(0.832, 0.552, 0.055)
R;(0.980, 1.291, -13.301);(294.241, 196.580, 17.737);(0.830, 0.555, 0.050)
R;(0.980, 1.291, -13.300);(294.388, 197.045, 16.530);(0.830, 0.556, 0.047)
R;(0.982, 1.290, -13.300);(294.771, 197.028, 16.420);(0.830, 0.555, 0.046)
R;(0.983, 1.289, -13.299);(295.546, 196.206, 17.240);(0.832, 0.552, 0.049)
R;(0.984, 1.289, -13.298);(295.659, 196.084, 17.600);(0.832, 0.552, 0.050)
R;(0.985, 1.288, -13.298);(295.620, 196.451, 17.354);(0.832, 0.553, 0.049)
R;(0.985, 1.288, -13.297);(295.307, 197.692, 16.101);(0.830, 0.556, 0.045)
R;(0.985, 1.288, -13.297);(295.116, 198.688, 15.203);(0.829, 0.558, 0.043)
R;(0.986, 1.288, -13.296);(295.582, 198.171, 15.145);(0.830, 0.556, 0.043)
R;(0.987, 1.287, -13.296);(296.262, 197.342, 15.412);(0.831, 0.554, 0.043)
R;(0.988, 1.287, -13.295);(296.594, 197.337, 15.289);(0.832, 0.553, 0.043)
R;(0.988, 1.287, -13.295);(296.888, 197.823, 14.503);(0.831, 0.554, 0.041)
R;(0.989, 1.288, -13.296);(297.427, 199.026, 12.607);(0.831, 0.556, 0.035)
R;(0.989, 1.289, -13.296);(298.014, 200.759, 10.491);(0.829, 0.558, 0.029)
R;(0.989, 1.289, -13.297);(298.482, 202.734, 8.616);(0.827, 0.562, 0.024)
R;(0.990, 1.289, -13.298);(298.739, 204.560, 7.208);(0.825, 0.565, 0.020)
R;(0.990, 1.289, -13.298);(299.146, 204.846, 6.779);(0.825, 0.565, 0.019)
R;(0.991, 1.288, -13.298);(299.811, 203.584, 7.369);(0.827, 0.562, 0.020)
R;(0.992, 1.287, -13.297);(300.243, 202.584, 8.088);(0.829, 0.559, 0.022)
R;(0.992, 1.287, -13.298);(300.662, 203.234, 7.372);(0.828, 0.560, 0.020)
R;(0.991, 1.287, -13.299);(300.991, 204.848, 5.189);(0.827, 0.563, 0.014)
R;(0.992, 1.286, -13.300);(301.700, 206.294, 3.537);(0.825, 0.564, 0.010)
R;(0.992, 1.286, -13.301);(302.791, 207.975, 2.288);(0.824, 0.566, 0.006)
R;(0.992, 1.285, -13.303);(303.881, 209.734, 0.510);(0.823, 0.568, 0.001)
R;(0.992, 1.284, -13.304);(305.042, 210.800, 359.160);(0.591, 0.408, 0.696)
R;(0.992, 1.283, -13.306);(306.247, 211.623, 358.264);(0.593, 0.410, 0.693)
R;(0.992, 1.282, -13.308);(307.886, 213.131, 356.559);(0.595, 0.412, 0.690)
R;(0.991, 1.280, -13.311);(310.053, 214.724, 353.666);(0.600, 0.415, 0.684)
R;(0.991, 1.279, -13.315);(312.860, 216.721, 350.811);(0.604, 0.419, 0.678)
R;(0.990, 1.277, -13.319);(315.863, 218.928, 348.689);(0.609, 0.422, 0.672)
R;(0.989, 1.274, -13.322);(318.247, 221.613, 346.839);(0.612, 0.426, 0.667)
R;(0.988, 1.271, -13.324);(320.211, 223.051, 345.648);(0.614, 0.428, 0.663)
R;(0.987, 1.267, -13.327);(323.047, 223.743, 344.392);(0.618, 0.428, 0.659)
R;(0.985, 1.261, -13.330);(326.725, 224.743, 342.468);(0.624, 0.429, 0.654)
R;(0.983, 1.257, -13.332);(329.964, 226.023, 340.799);(0.628, 0.430, 0.649)
R;(0.981, 1.250, -13.332);(332.508, 227.857, 339.425);(0.631, 0.432, 0.644)
R;(0.979, 1.244, -13.330);(334.535, 228.604, 338.307);(0.634, 0.433, 0.641)
R;(7.723, 1.237, -18.762);(336.865, 228.605, 337.504);(0.637, 0.432, 0.638)
R;(7.723, 1.228, -18.760);(340.108, 228.308, 336.540);(0.642, 0.431, 0.635)
R;(7.722, 1.218, -18.759);(344.392, 228.356, 334.920);(0.647, 0.429, 0.630)
R;(7.721, 1.207, -18.756);(349.182, 229.140, 333.182);(0.654, 0.429, 0.624)
R;(7.720, 1.197, -18.751);(352.995, 230.377, 332.534);(0.657, 0.429, 0.619)
R;(7.721, 1.188, -18.743);(355.352, 230.429, 332.482);(0.660, 0.428, 0.617)
R;(7.721, 1.179, -18.734);(357.165, 229.474, 332.244);(0.663, 0.426, 0.616)
R;(7.722, 1.170, -18.724);(359.001, 228.140, 331.877);(0.665, 0.423, 0.615)
R;(7.723, 1.160, -18.714);(1.158, 227.057, 331.644);(0.003, 0.565, 0.825)
R;(7.723, 1.151, -18.704);(4.173, 225.981, 330.344);(0.010, 0.565, 0.825)
R;(7.724, 1.141, -18.694);(8.325, 225.119, 328.690);(0.021, 0.565, 0.825)
R;(7.724, 1.133, -18.683);(12.331, 225.348, 328.657);(0.031, 0.565, 0.824)
R;(7.724, 1.127, -18.670);(14.270, 225.267, 329.286);(0.036, 0.564, 0.825)
R;(7.725, 1.123, -18.657);(15.432, 223.822, 328.593);(0.039, 0.563, 0.826)
R;(7.725, 1.119, -18.644);(17.081, 222.090, 327.670);(0.043, 0.561, 0.827)
R;(7.725, 1.115, -18.631);(19.398, 220.484, 326.103);(0.049, 0.559, 0.827)
R;(7.725, 1.111, -18.619);(22.043, 218.875, 324.255);(0.056, 0.559, 0.828)
R;(7.725, 1.108, -18.606);(24.455, 217.887, 323.373);(0.063, 0.558, 0.828)
R;(7.725, 1.107, -18.594);(26.191, 217.256, 322.744);(0.067, 0.557, 0.828)
R;(7.725, 1.105, -18.581);(28.455, 215.665, 320.811);(0.073, 0.556, 0.828)
R;(7.726, 1.104, -18.569);(30.534, 213.530, 319.190);(0.079, 0.554, 0.829)
R;(7.727, 1.105, -18.555);(31.309, 211.406, 318.191);(0.082, 0.552, 0.830)
R;(7.728, 1.106, -18.543);(31.819, 209.506, 316.617);(0.084, 0.550, 0.831)
R;(7.728, 1.107, -18.532);(32.637, 207.943, 315.460);(0.086, 0.548, 0.832)
R;(7.728, 1.109, -18.521);(33.575, 206.951, 314.769);(0.089, 0.547, 0.832)
R;(7.728, 1.111, -18.511);(34.673, 205.985, 313.858);(0.092, 0.546, 0.832)
R;(7.729, 1.114, -18.501);(35.612, 204.435, 312.408);(0.095, 0.545, 0.833)
R;(7.729, 1.117, -18.491);(36.552, 202.323, 310.361);(0.098, 0.543, 0.834)
R;(7.730, 1.120, -18.481);(37.577, 200.034, 308.292);(0.102, 0.541, 0.835)
