SubStep Name;Complete Time;Interacting Time
Prüfe, ob das Fahrzeug gebremst ist.;92145,42
Prüfe, ob das Fahrzeug gebremst ist.;null;49125,867
Ziehe die Feststellbremse an.;41330,015
Ziehe die Feststellbremse an.;null;10278,582
Ziehe die Druckluftbremse an.;22031,233
Ziehe die Druckluftbremse an.;null;1844,132
Prüfe, ob das Fahrzeug nun angebremst ist.;42377,047
Prüfe, ob das Fahrzeug nun angebremst ist.;null;94917,947
Signalisiere der Lok, dass sie anfahren darf.;null;22777,278
Signalisiere der Lok, dass sie anfahren darf.;0,352
Warte auf die Lok;18072,982
Kupple den vordersten Wagen an die Lok.;54652,54
Kupple den vordersten Wagen an die Lok.;null;13972,505
