SubStep Name;Complete Time;Interacting Time
Prüfe, ob das Fahrzeug gebremst ist.;61874.453
Prüfe, ob das Fahrzeug gebremst ist.;null;28265.0139
Ziehe die Feststellbremse an.;43285.5082
Ziehe die Feststellbremse an.;null;13046.4866
Ziehe die Druckluftbremse an.;359551.8778
Ziehe die Druckluftbremse an.;null;335608.0878
Prüfe, ob das Fahrzeug nun angebremst ist.;35782.4873
Prüfe, ob das Fahrzeug nun angebremst ist.;null;10188.8164
Signalisiere der Lok, dass sie anfahren darf.;null;13552.0904
Signalisiere der Lok, dass sie anfahren darf.;2.1941
Warte auf die Lok;18099.971
Kupple den vordersten Wagen an die Lok.;78514.8187
Kupple den vordersten Wagen an die Lok.;null;17989.6439
