L/R;Position Real;Rotation Real;Rotation Real Normalized
R;(0.953, 1.147, -13.190);(2.613, 154.368, 337.178);(0.007, 0.416, 0.909)
R;(0.952, 1.145, -13.182);(3.228, 153.437, 335.824);(0.009, 0.416, 0.910)
R;(0.951, 1.143, -13.174);(3.865, 152.436, 334.327);(0.011, 0.415, 0.910)
R;(0.950, 1.141, -13.165);(4.330, 151.432, 333.586);(0.012, 0.413, 0.911)
R;(0.949, 1.139, -13.157);(4.753, 150.349, 333.059);(0.013, 0.411, 0.911)
R;(0.948, 1.139, -13.148);(5.051, 149.281, 332.535);(0.014, 0.410, 0.912)
R;(0.948, 1.139, -13.139);(5.341, 148.246, 331.747);(0.015, 0.408, 0.913)
R;(0.947, 1.139, -13.131);(5.575, 147.216, 330.946);(0.015, 0.406, 0.914)
R;(0.946, 1.140, -13.122);(5.674, 146.225, 330.745);(0.016, 0.404, 0.914)
R;(0.944, 1.142, -13.112);(5.523, 144.944, 330.951);(0.015, 0.401, 0.916)
R;(0.943, 1.144, -13.103);(5.173, 143.458, 331.273);(0.014, 0.397, 0.918)
R;(0.941, 1.148, -13.094);(4.564, 142.130, 331.768);(0.013, 0.394, 0.919)
R;(0.940, 1.152, -13.085);(3.922, 141.056, 332.604);(0.011, 0.390, 0.921)
R;(0.938, 1.156, -13.076);(3.266, 140.037, 333.187);(0.009, 0.387, 0.922)
R;(0.936, 1.161, -13.068);(2.473, 139.193, 333.414);(0.007, 0.385, 0.923)
R;(0.935, 1.167, -13.061);(1.762, 138.294, 333.200);(0.005, 0.383, 0.924)
R;(0.934, 1.172, -13.054);(1.234, 137.217, 332.949);(0.003, 0.381, 0.925)
R;(0.932, 1.179, -13.047);(0.460, 136.078, 332.501);(0.001, 0.379, 0.925)
R;(0.931, 1.185, -13.040);(359.819, 135.108, 332.495);(0.708, 0.266, 0.654)
R;(0.930, 1.191, -13.033);(359.302, 134.067, 332.541);(0.708, 0.264, 0.655)
R;(0.928, 1.198, -13.027);(358.579, 133.020, 332.754);(0.707, 0.262, 0.656)
R;(0.927, 1.205, -13.022);(357.694, 132.095, 333.225);(0.706, 0.261, 0.658)
R;(0.926, 1.213, -13.017);(356.839, 131.523, 333.873);(0.705, 0.260, 0.660)
R;(0.926, 1.221, -13.012);(355.965, 131.027, 334.442);(0.704, 0.259, 0.661)
R;(0.925, 1.230, -13.009);(355.077, 130.386, 334.924);(0.703, 0.258, 0.663)
R;(0.924, 1.239, -13.006);(354.113, 129.652, 335.216);(0.702, 0.257, 0.664)
R;(0.924, 1.249, -13.004);(353.129, 129.091, 335.451);(0.701, 0.256, 0.666)
R;(0.924, 1.259, -13.003);(351.990, 128.842, 335.652);(0.700, 0.256, 0.667)
R;(0.924, 1.270, -13.003);(350.776, 128.742, 335.612);(0.698, 0.256, 0.668)
R;(0.924, 1.280, -13.004);(349.608, 128.764, 335.392);(0.697, 0.257, 0.669)
R;(0.924, 1.291, -13.006);(348.520, 128.883, 335.232);(0.696, 0.258, 0.670)
R;(0.923, 1.303, -13.009);(347.229, 128.868, 335.166);(0.695, 0.258, 0.671)
R;(0.923, 1.315, -13.012);(345.833, 128.935, 335.325);(0.694, 0.259, 0.672)
R;(0.922, 1.326, -13.016);(344.388, 129.058, 335.613);(0.692, 0.259, 0.674)
R;(0.921, 1.338, -13.021);(342.947, 129.202, 335.730);(0.690, 0.260, 0.675)
R;(0.920, 1.349, -13.027);(341.596, 129.493, 335.663);(0.689, 0.261, 0.677)
R;(0.919, 1.360, -13.033);(340.217, 129.760, 335.571);(0.687, 0.262, 0.678)
R;(0.918, 1.371, -13.040);(338.894, 130.127, 335.704);(0.685, 0.263, 0.679)
R;(0.917, 1.381, -13.047);(337.573, 130.333, 336.187);(0.683, 0.264, 0.681)
R;(0.915, 1.391, -13.054);(336.250, 130.617, 336.642);(0.681, 0.265, 0.682)
R;(0.913, 1.400, -13.064);(334.692, 131.160, 337.463);(0.679, 0.266, 0.684)
R;(0.912, 1.409, -13.073);(333.270, 131.659, 338.105);(0.676, 0.267, 0.686)
R;(0.910, 1.417, -13.082);(331.958, 132.259, 338.701);(0.674, 0.269, 0.688)
R;(0.909, 1.424, -13.094);(330.878, 133.184, 339.124);(0.672, 0.271, 0.689)
R;(0.908, 1.430, -13.106);(329.847, 134.017, 339.290);(0.671, 0.272, 0.690)
R;(0.907, 1.435, -13.117);(328.913, 134.990, 339.276);(0.669, 0.275, 0.690)
R;(0.906, 1.439, -13.131);(328.207, 136.624, 338.724);(0.668, 0.278, 0.690)
R;(0.906, 1.443, -13.145);(327.520, 138.473, 338.067);(0.668, 0.282, 0.689)
R;(0.906, 1.444, -13.159);(326.845, 140.605, 337.413);(0.667, 0.287, 0.688)
R;(0.906, 1.445, -13.173);(326.307, 142.672, 336.936);(0.666, 0.291, 0.687)
R;(0.906, 1.444, -13.189);(326.365, 145.092, 336.107);(0.665, 0.296, 0.685)
R;(0.906, 1.442, -13.204);(326.527, 147.185, 334.814);(0.666, 0.300, 0.683)
R;(0.907, 1.440, -13.219);(326.804, 149.260, 333.366);(0.667, 0.305, 0.680)
R;(0.907, 1.435, -13.234);(327.342, 151.202, 331.920);(0.668, 0.309, 0.677)
R;(0.908, 1.430, -13.248);(327.851, 153.155, 330.897);(0.669, 0.312, 0.675)
R;(0.909, 1.422, -13.262);(328.529, 155.267, 330.816);(0.669, 0.316, 0.673)
R;(0.910, 1.413, -13.274);(329.205, 157.610, 331.508);(0.668, 0.320, 0.672)
R;(0.910, 1.404, -13.286);(329.881, 159.925, 332.324);(0.667, 0.323, 0.672)
R;(0.911, 1.393, -13.298);(330.852, 162.506, 333.193);(0.666, 0.327, 0.671)
R;(0.912, 1.382, -13.308);(332.152, 164.601, 333.988);(0.666, 0.330, 0.669)
R;(0.913, 1.369, -13.317);(333.644, 166.064, 334.724);(0.666, 0.332, 0.668)
R;(0.914, 1.355, -13.326);(335.321, 166.945, 335.200);(0.667, 0.332, 0.667)
R;(0.915, 1.341, -13.333);(337.131, 167.714, 335.358);(0.669, 0.333, 0.665)
R;(0.916, 1.325, -13.339);(339.474, 168.191, 335.262);(0.671, 0.332, 0.663)
R;(0.918, 1.309, -13.344);(341.933, 168.685, 335.483);(0.673, 0.332, 0.661)
R;(0.919, 1.294, -13.347);(344.369, 169.182, 336.237);(0.675, 0.332, 0.659)
R;(0.920, 1.277, -13.348);(346.851, 168.987, 337.752);(0.676, 0.330, 0.659)
R;(0.920, 1.261, -13.348);(348.889, 168.574, 338.889);(0.678, 0.327, 0.658)
R;(0.919, 1.247, -13.349);(350.682, 168.367, 339.599);(0.679, 0.326, 0.658)
R;(0.918, 1.232, -13.347);(352.256, 167.819, 339.750);(0.681, 0.324, 0.657)
R;(0.917, 1.220, -13.346);(353.781, 167.608, 339.775);(0.682, 0.323, 0.655)
R;(0.915, 1.208, -13.344);(355.156, 167.388, 339.734);(0.684, 0.322, 0.654)
R;(0.913, 1.197, -13.342);(356.436, 167.219, 339.667);(0.685, 0.322, 0.653)
R;(0.912, 1.189, -13.339);(357.390, 166.739, 339.606);(0.687, 0.320, 0.653)
R;(0.910, 1.182, -13.335);(357.991, 166.216, 339.816);(0.687, 0.319, 0.652)
R;(0.909, 1.174, -13.333);(358.952, 165.965, 340.051);(0.688, 0.318, 0.652)
R;(0.908, 1.170, -13.328);(359.270, 165.633, 340.320);(0.688, 0.317, 0.652)
R;(0.907, 1.166, -13.325);(359.606, 165.148, 340.468);(0.689, 0.316, 0.652)
R;(0.907, 1.164, -13.321);(359.565, 164.675, 340.606);(0.689, 0.316, 0.653)
R;(0.907, 1.163, -13.318);(359.338, 164.400, 340.835);(0.689, 0.315, 0.653)
R;(0.907, 1.163, -13.314);(358.970, 164.240, 341.218);(0.688, 0.315, 0.654)
R;(0.907, 1.165, -13.311);(358.492, 164.138, 341.633);(0.687, 0.315, 0.655)
R;(0.907, 1.167, -13.308);(357.858, 164.126, 342.079);(0.686, 0.315, 0.656)
R;(0.908, 1.169, -13.305);(357.184, 164.077, 342.531);(0.685, 0.315, 0.657)
R;(0.908, 1.172, -13.302);(356.541, 163.960, 342.939);(0.684, 0.315, 0.658)
R;(0.908, 1.175, -13.299);(355.919, 163.731, 343.267);(0.683, 0.314, 0.659)
R;(0.909, 1.179, -13.296);(355.213, 163.480, 343.527);(0.682, 0.314, 0.660)
R;(0.909, 1.182, -13.293);(354.598, 163.228, 343.734);(0.682, 0.314, 0.661)
R;(0.909, 1.186, -13.290);(354.060, 163.002, 343.994);(0.681, 0.314, 0.662)
R;(0.909, 1.189, -13.288);(353.500, 162.763, 344.343);(0.680, 0.313, 0.663)
R;(0.909, 1.192, -13.285);(352.957, 162.460, 344.670);(0.680, 0.313, 0.664)
R;(0.909, 1.195, -13.283);(352.420, 162.106, 344.839);(0.679, 0.312, 0.664)
R;(0.909, 1.199, -13.281);(351.902, 161.732, 344.681);(0.679, 0.312, 0.665)
R;(0.908, 1.201, -13.279);(351.481, 161.294, 344.458);(0.679, 0.311, 0.665)
R;(0.908, 1.203, -13.277);(351.212, 160.961, 344.253);(0.679, 0.311, 0.665)
R;(0.908, 1.205, -13.276);(351.000, 160.735, 344.020);(0.679, 0.311, 0.665)
R;(0.907, 1.206, -13.275);(350.924, 160.644, 343.832);(0.679, 0.311, 0.665)
R;(0.907, 1.207, -13.274);(350.906, 160.598, 343.623);(0.679, 0.311, 0.665)
R;(0.907, 1.208, -13.273);(350.861, 160.602, 343.464);(0.679, 0.311, 0.665)
R;(0.907, 1.208, -13.273);(350.832, 160.572, 343.303);(0.679, 0.311, 0.665)
R;(0.907, 1.208, -13.272);(351.002, 160.456, 343.128);(0.680, 0.311, 0.664)
R;(0.907, 1.207, -13.272);(351.287, 160.308, 342.882);(0.680, 0.310, 0.664)
R;(0.907, 1.206, -13.272);(351.573, 160.186, 342.739);(0.681, 0.310, 0.664)
R;(0.907, 1.204, -13.272);(351.789, 160.161, 342.976);(0.681, 0.310, 0.664)
R;(0.907, 1.203, -13.271);(351.884, 160.221, 343.409);(0.680, 0.310, 0.664)
R;(0.907, 1.201, -13.271);(352.049, 160.353, 343.963);(0.680, 0.310, 0.664)
R;(0.906, 1.199, -13.271);(352.314, 160.456, 344.339);(0.680, 0.310, 0.665)
R;(0.906, 1.198, -13.271);(352.697, 160.473, 344.273);(0.680, 0.310, 0.664)
R;(0.906, 1.196, -13.271);(353.044, 160.344, 343.897);(0.681, 0.309, 0.664)
R;(0.905, 1.194, -13.272);(353.406, 160.178, 343.352);(0.682, 0.309, 0.663)
R;(0.905, 1.192, -13.272);(353.760, 160.166, 343.162);(0.683, 0.309, 0.662)
R;(0.904, 1.190, -13.272);(354.041, 160.206, 343.212);(0.683, 0.309, 0.662)
R;(0.903, 1.188, -13.272);(354.227, 160.361, 343.416);(0.683, 0.309, 0.662)
R;(0.903, 1.186, -13.272);(354.426, 160.385, 343.582);(0.683, 0.309, 0.662)
R;(0.902, 1.184, -13.272);(354.686, 160.311, 343.612);(0.683, 0.309, 0.662)
R;(0.901, 1.182, -13.272);(355.045, 160.166, 343.460);(0.684, 0.308, 0.661)
R;(0.900, 1.180, -13.272);(355.378, 160.068, 343.254);(0.684, 0.308, 0.661)
R;(0.899, 1.177, -13.271);(355.737, 159.984, 343.182);(0.685, 0.308, 0.661)
R;(0.898, 1.174, -13.271);(356.057, 159.860, 343.244);(0.685, 0.308, 0.660)
R;(0.897, 1.172, -13.270);(356.364, 159.738, 343.373);(0.685, 0.307, 0.660)
R;(0.896, 1.169, -13.269);(356.734, 159.650, 343.548);(0.686, 0.307, 0.660)
R;(0.896, 1.165, -13.268);(357.109, 159.551, 343.735);(0.686, 0.306, 0.660)
R;(0.895, 1.162, -13.266);(357.558, 159.424, 343.910);(0.686, 0.306, 0.660)
R;(0.894, 1.158, -13.264);(358.069, 159.048, 343.937);(0.687, 0.305, 0.660)
R;(0.893, 1.155, -13.262);(358.523, 158.564, 344.002);(0.687, 0.304, 0.660)
R;(0.892, 1.151, -13.259);(358.944, 157.897, 344.435);(0.688, 0.303, 0.660)
R;(0.891, 1.148, -13.257);(359.312, 157.415, 345.095);(0.688, 0.301, 0.661)
R;(0.890, 1.144, -13.254);(359.567, 157.244, 345.856);(0.687, 0.301, 0.661)
R;(0.889, 1.140, -13.252);(359.903, 157.139, 346.398);(0.687, 0.300, 0.662)
R;(0.888, 1.137, -13.250);(0.291, 156.915, 346.697);(0.001, 0.412, 0.911)
R;(0.887, 1.134, -13.248);(0.649, 156.468, 346.620);(0.002, 0.411, 0.911)
R;(0.886, 1.132, -13.246);(0.970, 156.157, 346.683);(0.003, 0.411, 0.912)
R;(0.885, 1.129, -13.244);(1.255, 155.904, 346.560);(0.003, 0.410, 0.912)
R;(0.885, 1.127, -13.243);(1.508, 155.754, 346.499);(0.004, 0.410, 0.912)
R;(0.884, 1.125, -13.241);(1.789, 155.698, 346.594);(0.005, 0.410, 0.912)
R;(0.883, 1.123, -13.240);(1.971, 155.556, 346.763);(0.005, 0.409, 0.912)
R;(0.883, 1.121, -13.239);(2.090, 155.397, 346.920);(0.005, 0.409, 0.913)
R;(0.883, 1.120, -13.238);(2.163, 155.319, 346.803);(0.006, 0.409, 0.913)
R;(0.882, 1.119, -13.237);(2.344, 155.162, 346.777);(0.006, 0.408, 0.913)
R;(0.882, 1.117, -13.236);(2.522, 155.049, 346.607);(0.007, 0.408, 0.913)
R;(0.882, 1.116, -13.236);(2.703, 154.945, 346.507);(0.007, 0.408, 0.913)
R;(0.882, 1.116, -13.235);(2.790, 154.923, 346.545);(0.007, 0.408, 0.913)
R;(0.882, 1.115, -13.234);(2.840, 154.786, 346.709);(0.007, 0.408, 0.913)
R;(0.882, 1.114, -13.234);(2.795, 154.695, 346.848);(0.007, 0.407, 0.913)
R;(0.882, 1.114, -13.233);(2.805, 154.666, 346.915);(0.007, 0.407, 0.913)
R;(0.882, 1.113, -13.233);(2.800, 154.640, 346.894);(0.007, 0.407, 0.913)
R;(0.882, 1.113, -13.233);(2.864, 154.640, 346.773);(0.008, 0.407, 0.913)
R;(0.882, 1.113, -13.232);(2.933, 154.604, 346.682);(0.008, 0.407, 0.913)
R;(0.882, 1.112, -13.232);(2.996, 154.586, 346.652);(0.008, 0.407, 0.913)
R;(0.882, 1.112, -13.231);(2.982, 154.377, 346.710);(0.008, 0.407, 0.914)
R;(0.882, 1.112, -13.231);(2.892, 154.184, 346.903);(0.008, 0.406, 0.914)
R;(0.882, 1.111, -13.230);(2.815, 154.114, 347.096);(0.007, 0.406, 0.914)
R;(0.881, 1.111, -13.230);(2.743, 154.167, 347.320);(0.007, 0.406, 0.914)
R;(0.881, 1.110, -13.229);(2.679, 154.148, 347.482);(0.007, 0.405, 0.914)
R;(0.881, 1.110, -13.229);(2.651, 154.144, 347.564);(0.007, 0.405, 0.914)
R;(0.882, 1.110, -13.229);(2.684, 154.190, 347.539);(0.007, 0.406, 0.914)
R;(0.882, 1.109, -13.229);(2.743, 154.218, 347.529);(0.007, 0.406, 0.914)
R;(0.882, 1.109, -13.228);(2.813, 154.247, 347.547);(0.007, 0.406, 0.914)
R;(0.882, 1.108, -13.228);(2.977, 154.286, 347.661);(0.008, 0.406, 0.914)
R;(0.882, 1.107, -13.227);(3.191, 154.295, 347.802);(0.008, 0.406, 0.914)
R;(0.882, 1.106, -13.227);(3.398, 154.295, 347.902);(0.009, 0.405, 0.914)
R;(0.882, 1.105, -13.226);(3.605, 154.240, 347.931);(0.009, 0.405, 0.914)
R;(0.882, 1.104, -13.226);(3.894, 154.103, 347.828);(0.010, 0.405, 0.914)
R;(0.882, 1.103, -13.225);(4.079, 154.047, 347.754);(0.011, 0.405, 0.914)
R;(0.882, 1.103, -13.224);(4.268, 153.706, 347.588);(0.011, 0.404, 0.915)
R;(0.882, 1.102, -13.224);(4.533, 153.557, 347.598);(0.012, 0.404, 0.915)
