L/R;Position Real;Rotation Real;Rotation Real Normalized
R;(0.953, 1.256, -13.306);(344.497, 158.893, 5.939);(0.908, 0.419, 0.016)
R;(0.955, 1.256, -13.305);(344.836, 158.706, 6.341);(0.908, 0.418, 0.017)
R;(0.956, 1.255, -13.304);(345.711, 159.377, 6.951);(0.908, 0.419, 0.018)
R;(0.956, 1.256, -13.303);(345.551, 159.606, 7.437);(0.908, 0.419, 0.020)
R;(0.956, 1.256, -13.302);(344.864, 159.543, 7.717);(0.907, 0.420, 0.020)
R;(0.956, 1.257, -13.302);(344.527, 159.980, 7.574);(0.907, 0.421, 0.020)
R;(0.957, 1.257, -13.302);(344.465, 160.184, 7.115);(0.907, 0.422, 0.019)
R;(0.957, 1.257, -13.302);(344.600, 160.219, 6.260);(0.907, 0.422, 0.016)
R;(0.958, 1.257, -13.302);(344.702, 160.216, 5.613);(0.907, 0.421, 0.015)
R;(0.958, 1.257, -13.302);(344.852, 160.379, 5.073);(0.907, 0.422, 0.013)
R;(0.959, 1.257, -13.302);(344.985, 160.701, 4.837);(0.906, 0.422, 0.013)
R;(0.960, 1.257, -13.302);(345.021, 160.981, 5.010);(0.906, 0.423, 0.013)
R;(0.961, 1.256, -13.302);(344.974, 161.070, 5.393);(0.906, 0.423, 0.014)
R;(0.961, 1.256, -13.301);(344.967, 161.007, 5.646);(0.906, 0.423, 0.015)
R;(0.961, 1.256, -13.301);(345.066, 160.987, 5.607);(0.906, 0.423, 0.015)
R;(0.961, 1.256, -13.301);(345.159, 161.007, 5.313);(0.906, 0.423, 0.014)
R;(0.962, 1.256, -13.301);(345.261, 160.931, 4.899);(0.906, 0.422, 0.013)
R;(0.962, 1.256, -13.301);(345.274, 160.930, 4.706);(0.906, 0.422, 0.012)
R;(0.962, 1.256, -13.301);(345.201, 160.873, 4.799);(0.906, 0.422, 0.013)
R;(0.962, 1.255, -13.301);(345.111, 160.896, 4.982);(0.906, 0.423, 0.013)
R;(0.962, 1.255, -13.301);(345.077, 160.932, 5.041);(0.906, 0.423, 0.013)
R;(0.962, 1.255, -13.301);(345.052, 160.940, 5.044);(0.906, 0.423, 0.013)
R;(0.962, 1.255, -13.301);(345.051, 160.948, 5.012);(0.906, 0.423, 0.013)
R;(0.962, 1.255, -13.301);(345.039, 160.972, 4.950);(0.906, 0.423, 0.013)
R;(0.963, 1.256, -13.301);(345.008, 161.012, 4.853);(0.906, 0.423, 0.013)
R;(0.963, 1.256, -13.301);(344.972, 161.066, 4.765);(0.906, 0.423, 0.013)
R;(0.963, 1.256, -13.301);(344.916, 161.149, 4.680);(0.906, 0.423, 0.012)
R;(0.963, 1.256, -13.301);(344.845, 161.186, 4.549);(0.906, 0.423, 0.012)
R;(0.963, 1.257, -13.301);(344.727, 161.251, 4.374);(0.906, 0.424, 0.011)
R;(0.963, 1.257, -13.301);(344.602, 161.319, 4.180);(0.906, 0.424, 0.011)
R;(0.962, 1.257, -13.301);(344.499, 161.364, 4.002);(0.906, 0.424, 0.011)
R;(0.962, 1.258, -13.301);(344.377, 161.430, 3.837);(0.905, 0.424, 0.010)
R;(0.962, 1.257, -13.301);(344.260, 161.522, 3.622);(0.905, 0.425, 0.010)
R;(0.961, 1.257, -13.300);(344.213, 161.636, 3.431);(0.905, 0.425, 0.009)
R;(0.961, 1.256, -13.300);(344.174, 161.777, 3.124);(0.905, 0.425, 0.008)
R;(0.961, 1.254, -13.299);(344.229, 161.866, 2.868);(0.905, 0.426, 0.008)
R;(0.961, 1.252, -13.298);(344.605, 162.045, 2.357);(0.905, 0.426, 0.006)
R;(0.961, 1.249, -13.297);(344.948, 162.138, 1.798);(0.905, 0.425, 0.005)
R;(0.961, 1.246, -13.296);(345.330, 162.159, 1.251);(0.905, 0.425, 0.003)
R;(0.961, 1.243, -13.295);(345.752, 162.350, 0.692);(0.905, 0.425, 0.002)
R;(0.962, 1.239, -13.293);(346.227, 162.685, 0.031);(0.905, 0.425, 0.000)
R;(0.962, 1.235, -13.292);(346.846, 162.929, 359.104);(0.660, 0.310, 0.684)
R;(0.963, 1.230, -13.290);(347.640, 163.049, 358.318);(0.662, 0.310, 0.682)
R;(0.963, 1.225, -13.287);(348.371, 163.072, 358.041);(0.663, 0.310, 0.681)
R;(0.963, 1.220, -13.284);(349.095, 162.864, 358.152);(0.664, 0.310, 0.681)
R;(0.963, 1.215, -13.281);(349.790, 162.733, 357.954);(0.665, 0.309, 0.680)
R;(0.963, 1.210, -13.278);(350.448, 162.538, 357.272);(0.666, 0.309, 0.679)
R;(0.962, 1.205, -13.274);(351.198, 162.233, 356.059);(0.668, 0.309, 0.677)
R;(0.962, 1.200, -13.270);(351.907, 162.007, 355.107);(0.670, 0.308, 0.676)
R;(0.962, 1.195, -13.266);(352.677, 161.786, 354.256);(0.671, 0.308, 0.674)
R;(0.962, 1.190, -13.262);(353.448, 161.478, 353.372);(0.673, 0.307, 0.673)
R;(0.961, 1.186, -13.258);(354.264, 161.079, 352.038);(0.675, 0.307, 0.671)
R;(0.961, 1.182, -13.254);(355.131, 160.762, 350.354);(0.678, 0.307, 0.668)
R;(0.960, 1.177, -13.249);(355.846, 160.777, 348.994);(0.679, 0.307, 0.666)
R;(0.960, 1.173, -13.243);(356.391, 160.748, 348.370);(0.681, 0.307, 0.665)
R;(0.959, 1.169, -13.238);(356.893, 160.287, 347.786);(0.682, 0.306, 0.664)
R;(0.958, 1.166, -13.231);(357.446, 159.641, 347.019);(0.683, 0.305, 0.663)
R;(0.957, 1.162, -13.225);(358.191, 158.819, 345.617);(0.686, 0.304, 0.662)
R;(0.956, 1.159, -13.219);(359.046, 158.058, 343.988);(0.688, 0.303, 0.659)
R;(0.955, 1.156, -13.212);(0.035, 157.194, 341.807);(0.000, 0.418, 0.909)
R;(0.955, 1.152, -13.205);(1.107, 156.333, 340.071);(0.003, 0.418, 0.909)
R;(0.954, 1.150, -13.198);(1.982, 155.348, 338.477);(0.005, 0.417, 0.909)
