L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
L;(0.982, 1.294, -13.013);(0.968, 1.274, -13.007);0.024;(26.478, 192.163, 172.453);(25.880, 191.899, 172.019);-0.9999804;(0.102, 0.740, 0.664);(0.100, 0.741, 0.664)
L;(0.982, 1.294, -13.013);(0.968, 1.283, -13.008);0.017;(26.478, 192.163, 172.453);(29.112, 192.259, 172.799);-0.9997323;(0.102, 0.740, 0.664);(0.112, 0.739, 0.664)
L;(0.982, 1.294, -13.013);(0.968, 1.283, -13.008);0.017;(26.478, 192.163, 172.453);(29.112, 192.259, 172.799);-0.9997323;(0.102, 0.740, 0.664);(0.112, 0.739, 0.664)
L;(0.982, 1.294, -13.013);(0.968, 1.283, -13.008);0.017;(26.478, 192.163, 172.453);(29.112, 192.259, 172.799);-0.9997323;(0.102, 0.740, 0.664);(0.112, 0.739, 0.664)
L;(0.982, 1.294, -13.013);(0.968, 1.283, -13.008);0.017;(26.478, 192.163, 172.453);(29.112, 192.259, 172.799);-0.9997323;(0.102, 0.740, 0.664);(0.112, 0.739, 0.664)
L;(0.988, 1.302, -13.016);(0.968, 1.283, -13.008);0.028;(27.236, 191.423, 172.651);(29.112, 192.259, 172.799);-0.9998431;(0.105, 0.738, 0.666);(0.112, 0.739, 0.664)
L;(0.988, 1.302, -13.016);(0.968, 1.294, -13.010);0.022;(27.236, 191.423, 172.651);(32.916, 192.767, 173.784);-0.9987124;(0.105, 0.738, 0.666);(0.126, 0.737, 0.664)
L;(0.988, 1.302, -13.016);(0.968, 1.294, -13.010);0.022;(27.236, 191.423, 172.651);(32.916, 192.767, 173.784);-0.9987124;(0.105, 0.738, 0.666);(0.126, 0.737, 0.664)
L;(0.988, 1.302, -13.016);(0.968, 1.294, -13.010);0.022;(27.236, 191.423, 172.651);(32.916, 192.767, 173.784);-0.9987124;(0.105, 0.738, 0.666);(0.126, 0.737, 0.664)
L;(0.680, 1.046, -12.958);(0.968, 1.294, -13.010);0.384;(27.451, 191.597, 173.709);(32.916, 192.767, 173.784);-0.9988141;(0.106, 0.737, 0.668);(0.126, 0.737, 0.664)
L;(0.680, 1.046, -12.958);(0.968, 1.294, -13.010);0.384;(27.451, 191.597, 173.709);(32.916, 192.767, 173.784);-0.9988141;(0.106, 0.737, 0.668);(0.126, 0.737, 0.664)
L;(0.680, 1.046, -12.958);(0.968, 1.294, -13.010);0.384;(27.451, 191.597, 173.709);(32.916, 192.767, 173.784);-0.9988141;(0.106, 0.737, 0.668);(0.126, 0.737, 0.664)
L;(0.680, 1.046, -12.958);(0.968, 1.294, -13.010);0.384;(27.451, 191.597, 173.709);(32.916, 192.767, 173.784);-0.9988141;(0.106, 0.737, 0.668);(0.126, 0.737, 0.664)
L;(0.680, 1.046, -12.958);(0.968, 1.294, -13.010);0.384;(27.451, 191.597, 173.709);(32.916, 192.767, 173.784);-0.9988141;(0.106, 0.737, 0.668);(0.126, 0.737, 0.664)
L;(0.680, 1.046, -12.958);(0.968, 1.294, -13.010);0.384;(27.451, 191.597, 173.709);(32.916, 192.767, 173.784);-0.9988141;(0.106, 0.737, 0.668);(0.126, 0.737, 0.664)
L;(0.677, 1.048, -12.954);(0.968, 1.294, -13.010);0.385;(26.520, 190.421, 172.435);(32.916, 192.767, 173.784);-0.998284;(0.103, 0.737, 0.668);(0.126, 0.737, 0.664)
L;(0.677, 1.048, -12.954);(0.968, 1.294, -13.010);0.385;(26.520, 190.421, 172.435);(32.916, 192.767, 173.784);-0.9982841;(0.103, 0.737, 0.668);(0.126, 0.737, 0.664)
