L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
R;(0.951, 1.330, -12.999);(0.951, 1.328, -12.994);0,005;(37.979, 24.593, 52.769);(38.151, 24.435, 54.144);-0,9999158;(0.546, 0.354, 0.759);(0.540, 0.346, 0.767)
R;(0.952, 1.332, -13.004);(0.951, 1.332, -12.996);0,009;(36.638, 24.317, 50.238);(37.082, 24.064, 53.536);-0,9995379;(0.549, 0.364, 0.752);(0.534, 0.347, 0.771)
R;(0.952, 1.332, -13.004);(0.951, 1.336, -12.997);0,008;(36.638, 24.317, 50.238);(35.911, 23.681, 52.891);-0,9996204;(0.549, 0.364, 0.752);(0.527, 0.347, 0.776)
R;(0.952, 1.330, -13.004);(0.951, 1.336, -12.997);0,009;(36.665, 23.676, 49.521);(35.911, 23.681, 52.891);-0,9995466;(0.555, 0.359, 0.750);(0.527, 0.347, 0.776)
R;(0.952, 1.330, -13.004);(0.951, 1.334, -12.997);0,009;(36.665, 23.676, 49.521);(36.392, 23.835, 53.153);-0,9995201;(0.555, 0.359, 0.750);(0.530, 0.347, 0.774)
R;(0.952, 1.329, -13.007);(0.951, 1.334, -12.997);0,012;(35.728, 23.273, 48.186);(36.392, 23.835, 53.153);-0,9991571;(0.555, 0.362, 0.749);(0.530, 0.347, 0.774)
R;(0.952, 1.328, -13.011);(0.951, 1.334, -12.997);0,016;(35.625, 22.899, 45.835);(36.375, 23.830, 53.144);-0,9982165;(0.571, 0.367, 0.734);(0.530, 0.347, 0.774)
R;(0.952, 1.328, -13.011);(0.951, 1.335, -12.997);0,016;(35.625, 22.899, 45.835);(36.176, 23.766, 53.035);-0,9982648;(0.571, 0.367, 0.734);(0.528, 0.347, 0.775)
R;(0.952, 1.326, -13.012);(0.951, 1.335, -12.997);0,017;(36.295, 22.891, 45.650);(36.176, 23.766, 53.035);-0,9981848;(0.579, 0.365, 0.729);(0.528, 0.347, 0.775)
R;(0.952, 1.326, -13.012);(0.951, 1.334, -12.996);0,017;(36.295, 22.891, 45.650);(36.476, 23.863, 53.200);-0,9981245;(0.579, 0.365, 0.729);(0.530, 0.347, 0.774)
R;(0.952, 1.324, -13.014);(0.951, 1.334, -12.996);0,020;(37.145, 22.576, 44.296);(36.476, 23.863, 53.200);-0,997425;(0.599, 0.364, 0.714);(0.530, 0.347, 0.774)
R;(0.952, 1.324, -13.014);(0.951, 1.333, -12.996);0,020;(37.145, 22.576, 44.296);(36.706, 23.938, 53.326);-0,9973807;(0.599, 0.364, 0.714);(0.532, 0.347, 0.773)
R;(0.951, 1.320, -13.017);(0.951, 1.333, -12.996);0,024;(37.768, 22.599, 42.890);(36.706, 23.938, 53.326);-0,9963882;(0.615, 0.368, 0.698);(0.532, 0.347, 0.773)
R;(0.948, 1.314, -13.022);(0.951, 1.334, -12.997);0,033;(37.941, 23.082, 41.074);(36.370, 23.828, 53.141);-0,9947592;(0.627, 0.382, 0.679);(0.530, 0.347, 0.774)
R;(0.948, 1.314, -13.022);(0.951, 1.334, -12.997);0,033;(37.941, 23.082, 41.074);(36.370, 23.828, 53.141);-0,9947592;(0.627, 0.382, 0.679);(0.530, 0.347, 0.774)
R;(0.948, 1.313, -13.022);(0.951, 1.334, -12.997);0,034;(37.997, 23.182, 41.371);(36.370, 23.828, 53.141);-0,9949627;(0.625, 0.381, 0.681);(0.530, 0.347, 0.774)
R;(0.948, 1.313, -13.022);(0.951, 1.334, -12.997);0,034;(37.997, 23.182, 41.371);(36.370, 23.828, 53.141);-0,9949627;(0.625, 0.381, 0.681);(0.530, 0.347, 0.774)
R;(0.946, 1.308, -13.023);(0.951, 1.334, -12.997);0,038;(38.188, 23.029, 40.547);(36.370, 23.828, 53.141);-0,9942802;(0.634, 0.382, 0.673);(0.530, 0.347, 0.774)
R;(0.944, 1.296, -13.025);(0.951, 1.334, -12.997);0,048;(38.915, 22.396, 38.273);(36.370, 23.828, 53.141);-0,9922599;(0.660, 0.380, 0.649);(0.530, 0.347, 0.774)
R;(0.944, 1.296, -13.025);(0.951, 1.334, -12.997);0,048;(38.915, 22.396, 38.273);(36.370, 23.828, 53.141);-0,9922599;(0.660, 0.380, 0.649);(0.530, 0.347, 0.774)
R;(0.943, 1.294, -13.025);(0.951, 1.334, -12.997);0,050;(39.235, 21.912, 37.853);(36.370, 23.828, 53.141);-0,9920285;(0.668, 0.373, 0.644);(0.530, 0.347, 0.774)
R;(0.943, 1.294, -13.025);(0.951, 1.334, -12.997);0,050;(39.235, 21.912, 37.853);(36.370, 23.828, 53.141);-0,9920285;(0.668, 0.373, 0.644);(0.530, 0.347, 0.774)
R;(0.941, 1.286, -13.025);(0.951, 1.334, -12.997);0,058;(39.852, 20.703, 35.555);(36.370, 23.828, 53.141);-0,9899956;(0.696, 0.361, 0.621);(0.530, 0.347, 0.774)
R;(0.935, 1.271, -13.026);(0.951, 1.334, -12.997);0,072;(40.526, 19.147, 32.359);(36.370, 23.828, 53.141);-0,9867124;(0.733, 0.346, 0.585);(0.530, 0.347, 0.774)
