L/R;Position Real;Rotation Real;Rotation Real Normalized
L;(0.988, 1.375, -13.086);(325.050, 309.510, 321.289);(0.589, 0.561, 0.582)
L;(0.987, 1.378, -13.089);(324.963, 310.217, 320.961);(0.589, 0.562, 0.581)
L;(0.987, 1.380, -13.092);(324.815, 310.884, 320.356);(0.588, 0.563, 0.580)
L;(0.986, 1.383, -13.096);(324.557, 311.684, 319.298);(0.588, 0.565, 0.579)
L;(0.986, 1.385, -13.099);(324.329, 312.514, 318.244);(0.588, 0.567, 0.577)
L;(0.986, 1.387, -13.102);(324.492, 313.373, 317.598);(0.588, 0.568, 0.576)
L;(0.986, 1.389, -13.106);(325.078, 313.938, 317.371);(0.589, 0.568, 0.575)
L;(0.986, 1.391, -13.110);(325.678, 314.251, 317.496);(0.589, 0.568, 0.574)
L;(0.986, 1.393, -13.114);(325.834, 315.002, 317.113);(0.589, 0.569, 0.573)
L;(0.985, 1.394, -13.118);(325.940, 316.154, 316.260);(0.589, 0.571, 0.572)
L;(0.984, 1.396, -13.123);(325.990, 317.306, 314.876);(0.589, 0.574, 0.569)
L;(0.984, 1.397, -13.127);(326.042, 318.244, 313.594);(0.589, 0.575, 0.567)
L;(0.983, 1.399, -13.131);(326.098, 319.265, 312.186);(0.590, 0.577, 0.565)
L;(0.983, 1.400, -13.136);(326.419, 320.070, 311.058);(0.590, 0.579, 0.563)
L;(0.983, 1.401, -13.140);(326.788, 320.737, 310.330);(0.591, 0.580, 0.561)
L;(0.982, 1.402, -13.144);(327.179, 321.411, 310.077);(0.591, 0.581, 0.560)
L;(0.982, 1.403, -13.148);(327.483, 321.999, 310.039);(0.591, 0.581, 0.560)
L;(0.981, 1.403, -13.152);(327.869, 322.721, 309.607);(0.591, 0.582, 0.558)
L;(0.981, 1.403, -13.156);(328.205, 323.484, 308.563);(0.592, 0.583, 0.556)
L;(0.980, 1.403, -13.161);(328.536, 324.346, 307.349);(0.592, 0.585, 0.554)
L;(0.979, 1.403, -13.165);(328.749, 325.059, 306.380);(0.593, 0.586, 0.552)
L;(0.978, 1.403, -13.169);(328.909, 325.853, 305.928);(0.593, 0.587, 0.551)
L;(0.977, 1.403, -13.173);(329.167, 326.309, 305.661);(0.593, 0.588, 0.551)
L;(0.976, 1.402, -13.177);(329.858, 326.810, 305.384);(0.594, 0.588, 0.549)
L;(0.975, 1.401, -13.182);(330.578, 327.489, 304.809);(0.594, 0.589, 0.548)
L;(0.974, 1.400, -13.186);(331.187, 328.296, 304.075);(0.595, 0.590, 0.546)
L;(0.973, 1.398, -13.191);(331.665, 329.214, 302.969);(0.596, 0.591, 0.544)
L;(0.972, 1.397, -13.195);(332.080, 330.067, 302.154);(0.596, 0.592, 0.542)
L;(0.970, 1.395, -13.200);(332.425, 330.829, 301.417);(0.596, 0.593, 0.541)
L;(0.969, 1.393, -13.204);(332.745, 331.613, 300.547);(0.597, 0.595, 0.539)
L;(0.968, 1.391, -13.209);(333.290, 332.157, 299.842);(0.597, 0.595, 0.537)
L;(0.967, 1.389, -13.213);(334.063, 332.626, 299.535);(0.598, 0.596, 0.536)
L;(0.966, 1.386, -13.218);(334.992, 333.021, 299.412);(0.599, 0.595, 0.535)
L;(0.964, 1.384, -13.223);(335.743, 333.518, 298.991);(0.600, 0.596, 0.534)
L;(0.963, 1.381, -13.228);(336.441, 334.180, 298.432);(0.600, 0.596, 0.533)
L;(0.961, 1.378, -13.232);(337.295, 334.947, 297.885);(0.601, 0.597, 0.531)
L;(0.959, 1.376, -13.237);(337.682, 335.529, 297.778);(0.601, 0.598, 0.530)
L;(0.957, 1.374, -13.241);(338.020, 335.964, 297.950);(0.601, 0.598, 0.530)
L;(0.956, 1.370, -13.246);(338.775, 336.343, 297.583);(0.602, 0.598, 0.529)
L;(0.954, 1.366, -13.251);(339.856, 336.653, 297.016);(0.604, 0.598, 0.527)
L;(0.952, 1.362, -13.255);(341.031, 337.081, 296.467);(0.605, 0.598, 0.526)
L;(0.949, 1.358, -13.260);(342.056, 337.889, 295.775);(0.606, 0.599, 0.524)
L;(0.946, 1.355, -13.264);(342.574, 339.063, 295.289);(0.606, 0.600, 0.522)
L;(0.944, 1.351, -13.268);(343.037, 339.700, 294.811);(0.606, 0.601, 0.521)
L;(0.942, 1.348, -13.272);(343.691, 340.026, 294.448);(0.607, 0.601, 0.520)
L;(0.940, 1.344, -13.275);(344.417, 340.314, 294.155);(0.608, 0.601, 0.519)
L;(0.937, 1.340, -13.279);(345.304, 340.867, 293.799);(0.609, 0.601, 0.518)
L;(0.934, 1.336, -13.283);(346.466, 341.649, 293.102);(0.610, 0.601, 0.516)
L;(0.931, 1.331, -13.286);(347.415, 342.358, 292.110);(0.611, 0.602, 0.514)
L;(0.929, 1.328, -13.289);(348.061, 342.825, 291.671);(0.612, 0.603, 0.513)
L;(0.926, 1.325, -13.292);(348.606, 343.228, 291.493);(0.612, 0.603, 0.512)
L;(0.924, 1.322, -13.295);(349.260, 343.576, 291.468);(0.613, 0.603, 0.511)
L;(0.922, 1.318, -13.297);(350.318, 343.743, 291.373);(0.614, 0.602, 0.510)
L;(0.919, 1.313, -13.300);(351.704, 344.310, 290.923);(0.615, 0.602, 0.509)
L;(0.917, 1.309, -13.303);(352.895, 344.912, 290.539);(0.616, 0.602, 0.507)
L;(0.914, 1.305, -13.305);(353.843, 345.743, 289.922);(0.617, 0.603, 0.506)
L;(0.911, 1.301, -13.307);(354.813, 346.163, 288.748);(0.618, 0.603, 0.503)
L;(0.909, 1.296, -13.309);(355.847, 346.397, 287.032);(0.620, 0.604, 0.500)
L;(0.907, 1.291, -13.311);(357.238, 346.595, 285.715);(0.622, 0.604, 0.498)
L;(0.903, 1.286, -13.313);(358.649, 347.200, 284.937);(0.624, 0.604, 0.496)
L;(0.900, 1.282, -13.315);(0.099, 347.837, 284.352);(0.000, 0.774, 0.633)
L;(0.897, 1.277, -13.316);(1.818, 348.190, 283.276);(0.004, 0.776, 0.631)
L;(0.894, 1.273, -13.318);(3.392, 348.450, 282.360);(0.008, 0.777, 0.630)
L;(0.892, 1.269, -13.319);(4.505, 348.640, 281.520);(0.010, 0.778, 0.628)
L;(0.890, 1.266, -13.320);(5.462, 348.605, 280.672);(0.012, 0.779, 0.627)
L;(0.887, 1.263, -13.321);(6.406, 348.989, 280.279);(0.014, 0.780, 0.626)
L;(0.883, 1.260, -13.322);(7.336, 349.536, 280.083);(0.016, 0.780, 0.625)
L;(0.881, 1.256, -13.323);(8.342, 349.989, 279.254);(0.019, 0.782, 0.624)
L;(0.879, 1.253, -13.323);(9.533, 350.331, 278.300);(0.021, 0.783, 0.622)
L;(0.876, 1.252, -13.323);(11.626, 350.351, 276.727);(0.026, 0.784, 0.620)
L;(0.874, 1.250, -13.323);(12.965, 350.530, 275.641);(0.029, 0.786, 0.618)
L;(0.872, 1.249, -13.324);(13.918, 350.770, 274.193);(0.031, 0.787, 0.616)
L;(0.871, 1.252, -13.325);(13.351, 351.262, 272.828);(0.030, 0.789, 0.613)
L;(0.870, 1.254, -13.326);(12.951, 351.558, 272.930);(0.029, 0.790, 0.613)
L;(0.868, 1.256, -13.326);(13.268, 351.573, 273.668);(0.030, 0.789, 0.614)
L;(0.867, 1.256, -13.326);(14.262, 351.388, 274.267);(0.032, 0.788, 0.615)
L;(0.867, 1.255, -13.324);(16.168, 351.027, 274.062);(0.036, 0.788, 0.615)
L;(0.866, 1.254, -13.323);(17.587, 350.971, 273.560);(0.039, 0.788, 0.614)
L;(0.865, 1.253, -13.322);(18.685, 351.081, 272.984);(0.042, 0.789, 0.613)
L;(0.864, 1.251, -13.321);(19.148, 351.017, 272.218);(0.043, 0.789, 0.612)
L;(0.864, 1.250, -13.320);(19.394, 350.879, 271.371);(0.044, 0.790, 0.611)
L;(0.864, 1.248, -13.319);(19.640, 350.614, 270.834);(0.044, 0.791, 0.611)
L;(0.864, 1.247, -13.317);(20.542, 350.199, 270.445);(0.046, 0.791, 0.611)
L;(0.863, 1.246, -13.315);(21.489, 349.943, 270.040);(0.049, 0.791, 0.610)
L;(0.863, 1.247, -13.314);(22.302, 349.761, 269.862);(0.050, 0.791, 0.610)
L;(0.863, 1.249, -13.314);(22.202, 349.780, 269.909);(0.050, 0.791, 0.610)
L;(0.862, 1.252, -13.315);(21.489, 350.314, 270.370);(0.049, 0.791, 0.610)
L;(0.862, 1.257, -13.316);(20.125, 351.091, 271.507);(0.045, 0.790, 0.611)
L;(0.862, 1.263, -13.318);(18.258, 351.529, 272.945);(0.041, 0.789, 0.613)
L;(0.862, 1.267, -13.319);(17.096, 351.634, 274.392);(0.038, 0.788, 0.615)
L;(0.862, 1.270, -13.319);(16.730, 351.506, 275.368);(0.037, 0.787, 0.616)
L;(0.862, 1.272, -13.319);(16.936, 351.445, 275.947);(0.038, 0.786, 0.617)
L;(0.862, 1.274, -13.319);(16.710, 351.349, 275.963);(0.037, 0.786, 0.617)
L;(0.863, 1.275, -13.319);(16.403, 351.249, 275.939);(0.037, 0.786, 0.617)
L;(0.863, 1.276, -13.319);(16.036, 351.211, 275.855);(0.036, 0.786, 0.617)
L;(0.863, 1.276, -13.319);(15.967, 351.150, 275.668);(0.036, 0.786, 0.617)
L;(0.864, 1.275, -13.319);(16.200, 350.974, 275.321);(0.036, 0.786, 0.617)
L;(0.865, 1.275, -13.318);(16.479, 350.779, 275.240);(0.037, 0.786, 0.617)
L;(0.865, 1.275, -13.318);(16.626, 350.587, 275.385);(0.037, 0.786, 0.617)
L;(0.865, 1.275, -13.317);(16.481, 350.428, 275.571);(0.037, 0.786, 0.618)
L;(0.866, 1.275, -13.316);(16.320, 350.311, 275.894);(0.037, 0.785, 0.618)
L;(0.866, 1.275, -13.316);(16.285, 350.553, 276.346);(0.036, 0.785, 0.619)
L;(0.866, 1.274, -13.315);(16.213, 350.554, 276.866);(0.036, 0.784, 0.619)
L;(0.866, 1.273, -13.315);(16.178, 350.592, 277.136);(0.036, 0.784, 0.620)
L;(0.867, 1.271, -13.314);(16.148, 350.534, 276.913);(0.036, 0.784, 0.619)
L;(0.867, 1.269, -13.314);(16.186, 350.334, 276.336);(0.036, 0.785, 0.619)
L;(0.867, 1.267, -13.313);(16.466, 350.250, 276.112);(0.037, 0.785, 0.619)
L;(0.867, 1.265, -13.313);(16.993, 350.126, 275.993);(0.038, 0.785, 0.619)
L;(0.867, 1.263, -13.312);(17.453, 350.039, 275.777);(0.039, 0.785, 0.618)
L;(0.867, 1.260, -13.312);(18.061, 350.028, 275.445);(0.041, 0.785, 0.618)
L;(0.866, 1.259, -13.312);(18.533, 350.213, 275.281);(0.042, 0.786, 0.617)
L;(0.865, 1.259, -13.312);(18.412, 350.423, 275.372);(0.041, 0.786, 0.617)
L;(0.865, 1.259, -13.313);(18.089, 350.448, 275.897);(0.041, 0.785, 0.618)
L;(0.864, 1.259, -13.314);(17.896, 350.367, 276.494);(0.040, 0.784, 0.619)
L;(0.864, 1.259, -13.314);(17.822, 350.322, 276.867);(0.040, 0.784, 0.620)
L;(0.863, 1.258, -13.314);(17.804, 350.303, 276.999);(0.040, 0.784, 0.620)
L;(0.863, 1.259, -13.315);(17.633, 350.300, 277.100);(0.039, 0.784, 0.620)
L;(0.862, 1.259, -13.316);(17.220, 350.288, 277.124);(0.039, 0.784, 0.620)
L;(0.996, 1.332, -13.055);(329.209, 307.176, 319.256);(0.596, 0.557, 0.578)
L;(0.995, 1.333, -13.057);(329.655, 308.365, 318.219);(0.597, 0.558, 0.576)
L;(0.995, 1.334, -13.059);(329.673, 309.222, 316.861);(0.597, 0.560, 0.574)
L;(0.995, 1.336, -13.061);(329.340, 309.899, 315.900);(0.597, 0.562, 0.573)
L;(0.996, 1.338, -13.062);(329.387, 310.397, 315.199);(0.597, 0.563, 0.571)
L;(0.997, 1.340, -13.063);(329.577, 310.585, 314.723);(0.598, 0.563, 0.571)
L;(0.998, 1.342, -13.065);(329.992, 310.699, 314.525);(0.598, 0.563, 0.570)
L;(0.998, 1.344, -13.066);(330.831, 310.885, 315.012);(0.599, 0.563, 0.570)
L;(0.988, 1.293, -13.038);(329.134, 302.426, 326.561);(0.595, 0.546, 0.590)
L;(0.988, 1.293, -13.040);(329.098, 302.795, 326.616);(0.594, 0.547, 0.590)
L;(0.987, 1.292, -13.041);(328.592, 303.167, 326.627);(0.593, 0.548, 0.590)
L;(0.987, 1.292, -13.041);(328.429, 303.320, 326.381);(0.593, 0.548, 0.590)
L;(0.987, 1.291, -13.042);(328.287, 303.277, 325.993);(0.593, 0.548, 0.589)
L;(0.987, 1.290, -13.043);(328.403, 303.417, 325.795);(0.594, 0.548, 0.589)
L;(0.988, 1.289, -13.044);(328.846, 303.282, 325.737);(0.594, 0.548, 0.589)
L;(0.988, 1.288, -13.044);(329.397, 303.134, 325.686);(0.595, 0.548, 0.588)
L;(0.988, 1.288, -13.045);(329.850, 303.209, 325.805);(0.595, 0.547, 0.588)
L;(0.987, 1.288, -13.045);(329.824, 303.424, 326.242);(0.595, 0.547, 0.589)
L;(0.987, 1.288, -13.045);(329.526, 303.480, 326.297);(0.595, 0.548, 0.589)
L;(0.986, 1.288, -13.045);(329.086, 303.322, 325.994);(0.594, 0.548, 0.589)
L;(0.986, 1.289, -13.046);(328.503, 303.213, 325.624);(0.594, 0.548, 0.589)
L;(0.986, 1.289, -13.046);(328.430, 303.085, 325.595);(0.594, 0.548, 0.589)
L;(0.986, 1.289, -13.046);(328.796, 303.343, 325.766);(0.594, 0.548, 0.589)
L;(0.986, 1.289, -13.046);(328.993, 303.402, 325.693);(0.594, 0.548, 0.588)
L;(0.986, 1.290, -13.047);(329.277, 303.644, 325.650);(0.595, 0.548, 0.588)
L;(0.986, 1.291, -13.047);(329.334, 303.868, 325.661);(0.595, 0.549, 0.588)
L;(0.986, 1.292, -13.047);(328.868, 303.888, 325.465);(0.594, 0.549, 0.588)
L;(0.986, 1.294, -13.046);(328.307, 303.715, 325.187);(0.594, 0.549, 0.588)
L;(0.986, 1.296, -13.046);(328.082, 303.479, 325.397);(0.593, 0.549, 0.589)
L;(0.987, 1.297, -13.045);(328.130, 303.506, 325.619);(0.593, 0.549, 0.589)
L;(0.987, 1.299, -13.045);(328.129, 303.424, 325.695);(0.593, 0.549, 0.589)
L;(0.988, 1.301, -13.044);(328.077, 303.227, 325.634);(0.593, 0.549, 0.589)
L;(0.988, 1.302, -13.044);(328.123, 303.177, 325.511);(0.594, 0.548, 0.589)
L;(0.989, 1.304, -13.044);(328.101, 303.372, 325.335);(0.594, 0.549, 0.589)
L;(0.990, 1.306, -13.044);(328.017, 303.669, 324.985);(0.594, 0.549, 0.588)
L;(0.990, 1.308, -13.044);(327.841, 303.950, 324.529);(0.593, 0.550, 0.587)
L;(0.991, 1.310, -13.045);(327.775, 304.423, 324.046);(0.593, 0.551, 0.587)
L;(0.992, 1.312, -13.045);(327.767, 304.959, 323.380);(0.593, 0.552, 0.586)
L;(0.992, 1.314, -13.046);(327.721, 305.270, 322.905);(0.594, 0.553, 0.585)
L;(0.993, 1.317, -13.046);(327.529, 305.549, 322.440);(0.593, 0.554, 0.584)
L;(0.993, 1.320, -13.047);(327.274, 306.010, 322.035);(0.593, 0.555, 0.584)
L;(0.994, 1.323, -13.049);(327.331, 306.600, 321.611);(0.593, 0.556, 0.583)
