L/R;Position Real;Rotation Real;Rotation Real Normalized
L;(0.951, 1.354, -13.044);(338.295, 164.067, 298.142);(0.705, 0.342, 0.621)
L;(0.951, 1.353, -13.044);(338.426, 164.304, 297.919);(0.705, 0.342, 0.621)
L;(0.951, 1.352, -13.044);(338.191, 164.807, 297.474);(0.705, 0.344, 0.620)
L;(0.952, 1.351, -13.045);(338.161, 165.222, 296.867);(0.705, 0.345, 0.619)
L;(0.952, 1.351, -13.045);(338.099, 165.297, 296.422);(0.706, 0.345, 0.619)
L;(0.953, 1.350, -13.045);(338.198, 164.952, 296.584);(0.706, 0.344, 0.619)
L;(0.953, 1.350, -13.044);(338.585, 164.888, 297.091);(0.706, 0.344, 0.619)
L;(0.954, 1.349, -13.044);(338.689, 164.988, 297.449);(0.706, 0.344, 0.620)
L;(0.955, 1.349, -13.044);(339.314, 164.806, 297.878);(0.706, 0.343, 0.620)
L;(0.955, 1.348, -13.044);(339.520, 164.800, 298.160);(0.706, 0.343, 0.620)
L;(0.955, 1.348, -13.044);(339.460, 164.882, 298.232);(0.706, 0.343, 0.620)
L;(0.955, 1.348, -13.044);(339.051, 164.806, 297.972);(0.706, 0.343, 0.620)
L;(0.954, 1.348, -13.044);(338.859, 164.921, 297.720);(0.706, 0.343, 0.620)
L;(0.954, 1.348, -13.044);(338.749, 165.101, 297.516);(0.706, 0.344, 0.620)
L;(0.954, 1.348, -13.044);(338.764, 165.139, 297.532);(0.706, 0.344, 0.620)
L;(0.954, 1.348, -13.044);(338.835, 165.141, 297.719);(0.705, 0.344, 0.620)
L;(0.954, 1.348, -13.044);(338.815, 165.173, 298.074);(0.705, 0.344, 0.620)
L;(0.954, 1.348, -13.044);(338.729, 165.184, 298.238);(0.705, 0.344, 0.621)
L;(0.954, 1.347, -13.044);(338.704, 165.216, 298.127);(0.705, 0.344, 0.620)
L;(0.954, 1.347, -13.044);(338.705, 165.244, 298.026);(0.705, 0.344, 0.620)
L;(0.954, 1.347, -13.044);(338.604, 165.298, 297.960);(0.705, 0.344, 0.620)
L;(0.954, 1.347, -13.044);(338.459, 165.357, 297.931);(0.705, 0.344, 0.620)
L;(0.954, 1.347, -13.044);(338.340, 165.496, 298.028);(0.704, 0.345, 0.621)
L;(0.954, 1.347, -13.043);(338.259, 165.555, 298.076);(0.704, 0.345, 0.621)
L;(0.954, 1.348, -13.043);(338.108, 165.594, 298.191);(0.704, 0.345, 0.621)
L;(0.953, 1.348, -13.043);(337.919, 165.568, 298.349);(0.704, 0.345, 0.621)
L;(0.953, 1.348, -13.043);(337.809, 165.608, 298.367);(0.704, 0.345, 0.621)
L;(0.953, 1.349, -13.043);(337.666, 165.684, 298.410);(0.703, 0.345, 0.622)
L;(0.953, 1.349, -13.042);(337.541, 165.736, 298.588);(0.703, 0.345, 0.622)
L;(0.953, 1.349, -13.042);(337.631, 165.839, 298.934);(0.703, 0.345, 0.622)
L;(0.953, 1.349, -13.042);(337.694, 165.838, 299.300);(0.702, 0.345, 0.623)
L;(0.952, 1.350, -13.041);(337.717, 165.829, 299.842);(0.702, 0.345, 0.623)
L;(0.952, 1.350, -13.041);(337.726, 165.828, 300.186);(0.702, 0.345, 0.624)
L;(0.952, 1.350, -13.041);(337.748, 165.888, 300.516);(0.701, 0.344, 0.624)
L;(0.952, 1.350, -13.040);(337.683, 165.895, 300.809);(0.701, 0.344, 0.624)
L;(0.951, 1.350, -13.040);(337.593, 165.935, 300.971);(0.701, 0.344, 0.625)
L;(0.951, 1.350, -13.039);(337.502, 165.967, 301.135);(0.700, 0.344, 0.625)
L;(0.951, 1.350, -13.039);(337.400, 165.984, 301.268);(0.700, 0.344, 0.625)
L;(0.950, 1.350, -13.039);(337.345, 166.055, 301.521);(0.700, 0.345, 0.626)
L;(0.950, 1.350, -13.038);(337.403, 166.209, 301.885);(0.700, 0.345, 0.626)
L;(0.949, 1.350, -13.038);(337.468, 166.243, 302.281);(0.699, 0.344, 0.626)
L;(0.949, 1.350, -13.038);(337.525, 166.280, 302.542);(0.699, 0.344, 0.627)
L;(0.949, 1.350, -13.037);(337.521, 166.432, 302.896);(0.699, 0.345, 0.627)
L;(0.948, 1.350, -13.037);(337.474, 166.473, 303.117);(0.698, 0.345, 0.627)
L;(0.948, 1.350, -13.037);(337.385, 166.565, 303.085);(0.698, 0.345, 0.627)
L;(0.948, 1.350, -13.037);(337.300, 166.691, 303.010);(0.698, 0.345, 0.627)
L;(0.948, 1.349, -13.037);(337.303, 166.782, 302.953);(0.698, 0.345, 0.627)
L;(0.948, 1.349, -13.037);(337.357, 166.907, 303.024);(0.698, 0.345, 0.627)
L;(0.948, 1.349, -13.037);(337.433, 166.992, 303.421);(0.698, 0.345, 0.627)
L;(0.948, 1.349, -13.037);(337.492, 167.120, 303.856);(0.697, 0.345, 0.628)
L;(0.948, 1.348, -13.037);(337.600, 167.181, 304.294);(0.697, 0.345, 0.628)
L;(0.948, 1.348, -13.037);(337.545, 167.198, 304.457);(0.697, 0.345, 0.629)
L;(0.948, 1.348, -13.036);(337.369, 167.134, 304.326);(0.697, 0.345, 0.629)
L;(0.948, 1.348, -13.036);(337.200, 167.173, 304.102);(0.697, 0.345, 0.628)
L;(0.948, 1.347, -13.036);(337.127, 167.335, 304.015);(0.697, 0.346, 0.628)
L;(0.948, 1.347, -13.036);(337.119, 167.438, 304.006);(0.697, 0.346, 0.628)
L;(0.948, 1.347, -13.036);(337.155, 167.490, 304.147);(0.697, 0.346, 0.628)
L;(0.948, 1.347, -13.035);(337.354, 167.660, 304.803);(0.696, 0.346, 0.629)
L;(0.948, 1.347, -13.035);(337.627, 167.752, 305.387);(0.696, 0.346, 0.629)
L;(0.947, 1.347, -13.034);(337.815, 167.850, 305.735);(0.696, 0.346, 0.630)
L;(0.947, 1.347, -13.033);(337.812, 167.980, 305.924);(0.695, 0.346, 0.630)
