L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
R;(0.975, 1.404, -13.134);(0.980, 1.412, -13.154);0,022;(286.881, 205.761, 149.402);(288.742, 207.960, 149.682);-0,9996367;(0.748, 0.537, 0.390);(0.748, 0.539, 0.388)
R;(0.975, 1.404, -13.134);(0.980, 1.412, -13.154);0,022;(286.881, 205.761, 149.402);(288.742, 207.960, 149.682);-0,9996367;(0.748, 0.537, 0.390);(0.748, 0.539, 0.388)
R;(0.973, 1.402, -13.127);(0.980, 1.412, -13.154);0,029;(286.505, 206.459, 148.106);(288.742, 207.960, 149.682);-0,9994578;(0.748, 0.539, 0.387);(0.748, 0.539, 0.388)
R;(0.970, 1.395, -13.115);(0.980, 1.412, -13.154);0,044;(285.208, 208.914, 144.609);(288.742, 207.960, 149.682);-0,9988629;(0.747, 0.547, 0.379);(0.748, 0.539, 0.388)
R;(0.970, 1.395, -13.115);(0.980, 1.412, -13.154);0,044;(285.208, 208.914, 144.609);(288.742, 207.960, 149.682);-0,9988629;(0.747, 0.547, 0.379);(0.748, 0.539, 0.388)
R;(0.970, 1.394, -13.114);(0.980, 1.412, -13.154);0,045;(284.975, 209.262, 144.377);(288.742, 207.960, 149.682);-0,9988281;(0.746, 0.548, 0.378);(0.748, 0.539, 0.388)
R;(0.970, 1.394, -13.114);(0.980, 1.412, -13.154);0,045;(284.975, 209.262, 144.377);(288.742, 207.960, 149.682);-0,9988281;(0.746, 0.548, 0.378);(0.748, 0.539, 0.388)
R;(0.967, 1.385, -13.101);(0.980, 1.412, -13.154);0,061;(282.697, 210.912, 141.457);(288.742, 207.960, 149.682);-0,9974858;(0.744, 0.555, 0.372);(0.748, 0.539, 0.388)
R;(0.967, 1.385, -13.101);(0.980, 1.412, -13.154);0,061;(282.697, 210.912, 141.457);(288.742, 207.960, 149.682);-0,9974856;(0.744, 0.555, 0.372);(0.748, 0.539, 0.388)
R;(0.965, 1.379, -13.094);(0.980, 1.412, -13.154);0,070;(281.161, 210.977, 140.503);(288.742, 207.960, 149.682);-0,996304;(0.743, 0.557, 0.371);(0.748, 0.539, 0.388)
R;(0.965, 1.379, -13.094);(0.980, 1.412, -13.154);0,070;(281.161, 210.977, 140.503);(288.742, 207.960, 149.682);-0,996304;(0.743, 0.557, 0.371);(0.748, 0.539, 0.388)
R;(0.963, 1.374, -13.087);(0.980, 1.412, -13.154);0,079;(279.936, 211.150, 139.572);(288.742, 207.960, 149.682);-0,9951628;(0.742, 0.559, 0.370);(0.748, 0.539, 0.388)
R;(0.959, 1.364, -13.074);(0.980, 1.412, -13.154);0,095;(278.130, 211.003, 138.447);(288.742, 207.960, 149.682);-0,9931119;(0.741, 0.562, 0.369);(0.748, 0.539, 0.388)
R;(0.959, 1.364, -13.074);(0.980, 1.412, -13.154);0,095;(278.130, 211.003, 138.447);(288.742, 207.960, 149.682);-0,9931119;(0.741, 0.562, 0.369);(0.748, 0.539, 0.388)
R;(0.959, 1.363, -13.074);(0.980, 1.412, -13.154);0,096;(278.292, 209.515, 139.900);(288.742, 207.960, 149.682);-0,9932525;(0.741, 0.558, 0.373);(0.748, 0.539, 0.388)
R;(0.959, 1.363, -13.074);(0.980, 1.412, -13.154);0,096;(278.292, 209.515, 139.900);(288.742, 207.960, 149.682);-0,9932526;(0.741, 0.558, 0.373);(0.748, 0.539, 0.388)
R;(0.953, 1.354, -13.063);(0.980, 1.412, -13.154);0,112;(277.064, 204.766, 143.215);(288.742, 207.960, 149.682);-0,9913108;(0.743, 0.549, 0.384);(0.748, 0.539, 0.388)
R;(0.953, 1.354, -13.063);(0.980, 1.412, -13.154);0,112;(277.064, 204.766, 143.215);(288.742, 207.960, 149.682);-0,991311;(0.743, 0.549, 0.384);(0.748, 0.539, 0.388)
R;(0.952, 1.350, -13.056);(0.980, 1.412, -13.154);0,119;(276.948, 199.949, 147.518);(288.742, 207.960, 149.682);-0,9908167;(0.744, 0.537, 0.396);(0.748, 0.539, 0.388)
R;(0.952, 1.350, -13.056);(0.980, 1.412, -13.154);0,119;(276.948, 199.949, 147.518);(288.742, 207.960, 149.682);-0,9908167;(0.744, 0.537, 0.396);(0.748, 0.539, 0.388)
R;(0.951, 1.345, -13.051);(0.980, 1.412, -13.154);0,126;(276.613, 194.321, 152.593);(288.742, 207.960, 149.682);-0,9899928;(0.746, 0.524, 0.411);(0.748, 0.539, 0.388)
R;(0.951, 1.345, -13.051);(0.980, 1.412, -13.154);0,126;(276.613, 194.321, 152.593);(288.742, 207.960, 149.682);-0,9899927;(0.746, 0.524, 0.411);(0.748, 0.539, 0.388)
R;(0.947, 1.340, -13.046);(0.980, 1.412, -13.154);0,134;(276.151, 185.805, 160.455);(288.742, 207.960, 149.682);-0,9887565;(0.747, 0.503, 0.434);(0.748, 0.539, 0.388)
R;(0.942, 1.330, -13.037);(0.980, 1.412, -13.154);0,148;(275.488, 169.642, 175.346);(288.742, 207.960, 149.682);-0,9861329;(0.749, 0.461, 0.476);(0.748, 0.539, 0.388)
R;(0.942, 1.330, -13.037);(0.980, 1.412, -13.154);0,148;(275.488, 169.642, 175.346);(288.742, 207.960, 149.682);-0,9861329;(0.749, 0.461, 0.476);(0.748, 0.539, 0.388)
R;(0.939, 1.324, -13.033);(0.980, 1.412, -13.154);0,155;(275.225, 159.553, 184.787);(288.742, 207.960, 149.682);-0,9845341;(0.748, 0.434, 0.502);(0.748, 0.539, 0.388)
R;(0.939, 1.324, -13.033);(0.980, 1.412, -13.154);0,155;(275.225, 159.553, 184.787);(288.742, 207.960, 149.682);-0,9845341;(0.748, 0.434, 0.502);(0.748, 0.539, 0.388)
R;(0.937, 1.320, -13.029);(0.980, 1.412, -13.154);0,161;(275.075, 151.853, 191.851);(288.742, 207.960, 149.682);-0,9831221;(0.747, 0.412, 0.521);(0.748, 0.539, 0.388)
