L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
R;(0.988, 1.171, -13.328);(0.982, 1.183, -13.306);0,025;(299.318, 189.357, 167.503);(311.592, 203.344, 147.881);0,989339;(0.764, 0.483, 0.428);(0.778, 0.508, 0.369)
R;(0.988, 1.170, -13.329);(0.982, 1.183, -13.306);0,027;(299.460, 188.817, 167.951);(311.592, 203.344, 147.881);0,9892604;(0.764, 0.482, 0.429);(0.778, 0.508, 0.369)
R;(0.988, 1.170, -13.329);(0.982, 1.183, -13.306);0,027;(299.460, 188.817, 167.951);(311.760, 203.263, 147.990);0,9891441;(0.764, 0.482, 0.429);(0.778, 0.508, 0.370)
R;(0.988, 1.170, -13.329);(0.982, 1.183, -13.306);0,027;(299.460, 188.817, 167.951);(311.760, 203.263, 147.990);0,9891441;(0.764, 0.482, 0.429);(0.778, 0.508, 0.370)
R;(0.989, 1.171, -13.331);(0.982, 1.183, -13.306);0,028;(299.087, 189.639, 167.453);(311.760, 203.263, 147.990);0,9890115;(0.763, 0.484, 0.427);(0.778, 0.508, 0.370)
R;(0.990, 1.174, -13.332);(0.982, 1.184, -13.307);0,028;(299.459, 189.636, 167.755);(311.444, 203.416, 147.785);0,9893417;(0.764, 0.484, 0.428);(0.778, 0.508, 0.369)
R;(0.990, 1.174, -13.332);(0.982, 1.187, -13.308);0,028;(299.459, 189.636, 167.755);(310.401, 203.944, 147.086);0,9899881;(0.764, 0.484, 0.428);(0.777, 0.511, 0.368)
R;(0.990, 1.173, -13.332);(0.982, 1.187, -13.308);0,028;(299.275, 189.881, 167.509);(310.401, 203.944, 147.086);0,98997;(0.763, 0.484, 0.427);(0.777, 0.511, 0.368)
R;(0.990, 1.173, -13.332);(0.982, 1.186, -13.308);0,028;(299.275, 189.881, 167.509);(310.632, 203.824, 147.244);0,9898316;(0.763, 0.484, 0.427);(0.777, 0.510, 0.368)
R;(0.990, 1.174, -13.333);(0.982, 1.186, -13.308);0,029;(299.467, 189.897, 167.633);(310.632, 203.824, 147.244);0,9898853;(0.764, 0.484, 0.427);(0.777, 0.510, 0.368)
R;(0.990, 1.174, -13.333);(0.982, 1.187, -13.308);0,029;(299.467, 189.897, 167.633);(310.308, 203.993, 147.023);0,9900725;(0.764, 0.484, 0.427);(0.777, 0.511, 0.368)
