L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
R;(0.998, 1.237, -13.342);(0.982, 1.225, -13.321);0,028;(292.720, 221.199, 133.522);(297.284, 215.017, 133.859);0,9978929;(0.750, 0.567, 0.342);(0.761, 0.551, 0.343)
R;(0.998, 1.237, -13.342);(0.982, 1.225, -13.321);0,028;(292.720, 221.199, 133.522);(297.284, 215.017, 133.859);0,997893;(0.750, 0.567, 0.342);(0.761, 0.551, 0.343)
R;(0.998, 1.237, -13.342);(0.982, 1.225, -13.321);0,028;(292.720, 221.199, 133.522);(297.284, 215.017, 133.859);0,997893;(0.750, 0.567, 0.342);(0.761, 0.551, 0.343)
R;(0.998, 1.237, -13.343);(0.982, 1.225, -13.321);0,029;(292.699, 221.776, 133.309);(297.284, 215.017, 133.859);0,9977069;(0.749, 0.568, 0.341);(0.761, 0.551, 0.343)
R;(0.999, 1.238, -13.344);(0.982, 1.225, -13.321);0,031;(292.306, 222.178, 133.428);(297.284, 215.017, 133.859);0,9973134;(0.748, 0.569, 0.342);(0.761, 0.551, 0.343)
R;(0.999, 1.238, -13.344);(0.982, 1.225, -13.321);0,031;(292.306, 222.178, 133.428);(297.284, 215.017, 133.859);0,9973134;(0.748, 0.569, 0.342);(0.761, 0.551, 0.343)
R;(0.999, 1.235, -13.345);(0.982, 1.225, -13.321);0,031;(292.005, 223.783, 131.941);(297.284, 215.017, 133.859);0,9970413;(0.747, 0.573, 0.338);(0.761, 0.551, 0.343)
R;(0.999, 1.235, -13.345);(0.982, 1.225, -13.321);0,031;(292.005, 223.783, 131.941);(297.284, 215.017, 133.859);0,9970413;(0.747, 0.573, 0.338);(0.761, 0.551, 0.343)
R;(1.000, 1.236, -13.346);(0.982, 1.225, -13.321);0,032;(292.041, 223.767, 132.338);(297.284, 215.017, 133.859);0,9968747;(0.747, 0.572, 0.338);(0.761, 0.551, 0.343)
R;(1.000, 1.236, -13.346);(0.982, 1.225, -13.321);0,032;(292.041, 223.767, 132.338);(297.284, 215.017, 133.859);0,9968747;(0.747, 0.572, 0.338);(0.761, 0.551, 0.343)
R;(1.000, 1.235, -13.347);(0.982, 1.225, -13.321);0,033;(292.094, 223.039, 133.258);(297.284, 215.017, 133.859);0,9968473;(0.747, 0.571, 0.341);(0.761, 0.551, 0.343)
R;(1.000, 1.235, -13.347);(0.982, 1.225, -13.321);0,033;(292.094, 223.039, 133.258);(297.284, 215.017, 133.860);0,9968473;(0.747, 0.571, 0.341);(0.761, 0.551, 0.343)
R;(1.000, 1.232, -13.349);(0.982, 1.225, -13.321);0,034;(292.152, 221.825, 134.704);(297.284, 215.017, 133.860);0,9968102;(0.748, 0.568, 0.345);(0.761, 0.551, 0.343)
R;(1.000, 1.232, -13.349);(0.982, 1.223, -13.321);0,034;(292.152, 221.825, 134.704);(297.973, 214.111, 134.882);0,9965417;(0.748, 0.568, 0.345);(0.762, 0.548, 0.345)
R;(1.000, 1.230, -13.350);(0.982, 1.223, -13.321);0,035;(292.609, 220.109, 136.897);(297.973, 214.111, 134.882);0,9965512;(0.749, 0.563, 0.350);(0.762, 0.548, 0.345)
R;(1.000, 1.230, -13.350);(0.982, 1.222, -13.321);0,035;(292.609, 220.109, 136.897);(298.116, 213.929, 135.088);0,9965006;(0.749, 0.563, 0.350);(0.762, 0.547, 0.345)
R;(1.001, 1.227, -13.351);(0.982, 1.222, -13.321);0,036;(292.773, 218.278, 138.955);(298.116, 213.929, 135.088);0,9964696;(0.749, 0.559, 0.356);(0.762, 0.547, 0.345)
R;(1.001, 1.227, -13.351);(0.982, 1.222, -13.320);0,036;(292.773, 218.278, 138.955);(298.344, 213.644, 135.411);0,996397;(0.749, 0.559, 0.356);(0.763, 0.546, 0.346)
R;(1.001, 1.224, -13.352);(0.982, 1.222, -13.320);0,036;(292.879, 216.322, 141.118);(298.344, 213.644, 135.411);0,996303;(0.750, 0.554, 0.361);(0.763, 0.546, 0.346)
R;(1.001, 1.219, -13.352);(0.982, 1.221, -13.320);0,037;(293.180, 213.455, 144.442);(298.628, 213.299, 135.804);0,9959409;(0.751, 0.547, 0.370);(0.763, 0.545, 0.347)
R;(1.001, 1.219, -13.352);(0.982, 1.218, -13.320);0,037;(293.180, 213.455, 144.442);(299.364, 212.441, 136.786);0,9957474;(0.751, 0.547, 0.370);(0.764, 0.542, 0.349)
R;(1.000, 1.217, -13.352);(0.982, 1.218, -13.320);0,037;(293.688, 210.588, 147.384);(299.364, 212.441, 136.786);0,9957106;(0.752, 0.540, 0.378);(0.764, 0.542, 0.349)
R;(1.000, 1.217, -13.352);(0.982, 1.218, -13.320);0,037;(293.688, 210.588, 147.384);(299.513, 212.274, 136.977);0,9956781;(0.752, 0.540, 0.378);(0.764, 0.542, 0.350)
R;(1.000, 1.217, -13.352);(0.982, 1.218, -13.320);0,037;(293.688, 210.588, 147.384);(299.513, 212.274, 136.977);0,9956781;(0.752, 0.540, 0.378);(0.764, 0.542, 0.350)
R;(1.000, 1.213, -13.351);(0.982, 1.218, -13.320);0,036;(293.437, 209.311, 148.744);(299.513, 212.274, 136.977);0,9953743;(0.753, 0.537, 0.381);(0.764, 0.542, 0.350)
R;(1.000, 1.213, -13.351);(0.982, 1.216, -13.319);0,037;(293.437, 209.311, 148.744);(300.234, 211.493, 137.877);0,9951848;(0.753, 0.537, 0.381);(0.765, 0.539, 0.351)
R;(0.999, 1.205, -13.349);(0.982, 1.216, -13.319);0,036;(293.110, 206.732, 151.399);(300.234, 211.493, 137.877);0,9946423;(0.753, 0.531, 0.389);(0.765, 0.539, 0.351)
