L/R;Position Real;Rotation Real;Rotation Real Normalized
R;(0.980, 1.406, -13.235);(359.121, 143.239, 64.517);(0.916, 0.365, 0.165)
R;(0.981, 1.407, -13.235);(358.672, 143.436, 64.237);(0.916, 0.366, 0.164)
R;(0.981, 1.408, -13.234);(358.200, 143.652, 63.468);(0.916, 0.367, 0.162)
R;(0.981, 1.408, -13.234);(358.225, 143.761, 63.079);(0.916, 0.368, 0.161)
R;(0.981, 1.408, -13.235);(357.897, 143.939, 63.361);(0.916, 0.368, 0.162)
R;(0.981, 1.409, -13.236);(357.908, 143.747, 63.165);(0.916, 0.368, 0.162)
R;(0.981, 1.409, -13.237);(358.110, 143.818, 62.855);(0.916, 0.368, 0.161)
R;(0.981, 1.409, -13.238);(358.185, 144.171, 62.991);(0.916, 0.369, 0.161)
R;(0.981, 1.409, -13.239);(357.885, 144.579, 63.027);(0.915, 0.370, 0.161)
R;(0.981, 1.410, -13.241);(357.227, 145.166, 62.741);(0.914, 0.372, 0.161)
R;(0.982, 1.411, -13.243);(356.492, 145.577, 62.097);(0.914, 0.373, 0.159)
R;(0.981, 1.411, -13.245);(355.886, 145.751, 61.757);(0.914, 0.374, 0.159)
R;(0.982, 1.411, -13.249);(355.191, 145.996, 61.645);(0.913, 0.375, 0.158)
R;(0.982, 1.410, -13.252);(354.809, 146.584, 61.186);(0.913, 0.377, 0.157)
R;(0.983, 1.410, -13.256);(354.117, 147.384, 60.573);(0.912, 0.380, 0.156)
R;(0.983, 1.410, -13.260);(353.158, 148.225, 59.684);(0.911, 0.382, 0.154)
R;(0.984, 1.409, -13.266);(351.748, 149.363, 57.945);(0.910, 0.386, 0.150)
R;(0.984, 1.408, -13.270);(350.536, 150.404, 55.692);(0.909, 0.390, 0.144)
R;(0.983, 1.407, -13.275);(349.478, 151.258, 52.641);(0.909, 0.393, 0.137)
R;(0.982, 1.404, -13.281);(348.556, 152.011, 49.316);(0.909, 0.396, 0.129)
R;(0.981, 1.401, -13.286);(347.432, 152.739, 45.723);(0.909, 0.400, 0.120)
R;(0.981, 1.398, -13.292);(346.334, 153.722, 42.069);(0.908, 0.403, 0.110)
R;(0.979, 1.392, -13.298);(345.261, 154.774, 38.184);(0.908, 0.407, 0.100)
R;(0.977, 1.386, -13.304);(344.140, 155.930, 35.220);(0.907, 0.411, 0.093)
R;(0.976, 1.379, -13.310);(343.017, 157.127, 32.455);(0.906, 0.415, 0.086)
R;(0.974, 1.372, -13.316);(341.797, 158.880, 29.383);(0.904, 0.420, 0.078)
R;(0.972, 1.364, -13.323);(340.921, 161.316, 24.656);(0.902, 0.427, 0.065)
R;(0.970, 1.356, -13.328);(340.513, 163.544, 19.215);(0.900, 0.432, 0.051)
R;(0.967, 1.346, -13.334);(340.348, 165.650, 13.234);(0.899, 0.437, 0.035)
R;(0.963, 1.335, -13.338);(340.693, 167.037, 7.538);(0.898, 0.440, 0.020)
R;(0.960, 1.322, -13.341);(340.963, 168.846, 2.544);(0.896, 0.444, 0.007)
R;(0.958, 1.309, -13.344);(341.039, 170.913, 357.641);(0.652, 0.327, 0.684)
R;(0.955, 1.295, -13.347);(341.724, 172.584, 352.696);(0.656, 0.332, 0.678)
R;(0.952, 1.280, -13.348);(342.396, 173.558, 348.353);(0.661, 0.335, 0.672)
R;(0.950, 1.264, -13.346);(343.335, 173.945, 344.772);(0.664, 0.337, 0.667)
R;(0.948, 1.247, -13.344);(344.777, 175.082, 342.015);(0.668, 0.339, 0.663)
R;(0.946, 1.231, -13.341);(346.718, 176.226, 339.044);(0.672, 0.342, 0.657)
R;(0.943, 1.216, -13.336);(348.449, 176.689, 335.365);(0.677, 0.343, 0.651)
R;(0.939, 1.203, -13.331);(349.512, 176.089, 330.896);(0.682, 0.344, 0.646)
R;(0.935, 1.192, -13.324);(349.967, 175.334, 326.079);(0.687, 0.344, 0.640)
R;(0.932, 1.181, -13.317);(350.339, 175.439, 321.513);(0.691, 0.346, 0.634)
R;(0.929, 1.171, -13.309);(350.711, 175.807, 316.899);(0.695, 0.349, 0.628)
R;(0.926, 1.162, -13.301);(351.168, 176.221, 312.516);(0.699, 0.351, 0.622)
R;(0.924, 1.154, -13.292);(351.460, 177.300, 309.088);(0.702, 0.354, 0.618)
R;(0.921, 1.147, -13.284);(351.866, 178.391, 305.572);(0.705, 0.357, 0.612)
R;(0.919, 1.140, -13.273);(352.080, 178.753, 301.034);(0.709, 0.360, 0.606)
R;(0.918, 1.133, -13.263);(353.003, 179.309, 296.617);(0.714, 0.362, 0.600)
R;(0.916, 1.128, -13.252);(353.965, 179.674, 292.803);(0.718, 0.364, 0.594)
R;(0.915, 1.123, -13.241);(354.688, 179.954, 289.595);(0.721, 0.366, 0.589)
R;(0.914, 1.119, -13.230);(355.443, 180.465, 286.808);(0.724, 0.367, 0.584)
R;(0.913, 1.117, -13.217);(356.072, 180.881, 284.018);(0.727, 0.369, 0.580)
R;(0.912, 1.114, -13.205);(356.848, 180.817, 281.442);(0.730, 0.370, 0.575)
R;(0.911, 1.114, -13.191);(357.496, 180.513, 279.498);(0.732, 0.370, 0.572)
R;(0.909, 1.114, -13.178);(357.726, 180.004, 278.178);(0.734, 0.369, 0.571)
R;(0.908, 1.115, -13.164);(357.647, 178.968, 277.088);(0.735, 0.368, 0.570)
R;(0.907, 1.117, -13.152);(357.388, 177.591, 276.332);(0.736, 0.366, 0.569)
R;(0.907, 1.120, -13.140);(357.310, 176.623, 276.836);(0.736, 0.364, 0.570)
R;(0.906, 1.123, -13.131);(356.838, 175.832, 277.983);(0.735, 0.362, 0.573)
R;(0.906, 1.126, -13.124);(356.510, 174.816, 279.419);(0.734, 0.360, 0.575)
R;(0.906, 1.129, -13.121);(356.298, 173.928, 281.306);(0.733, 0.358, 0.579)
R;(0.906, 1.132, -13.120);(356.004, 173.273, 283.414);(0.731, 0.356, 0.582)
R;(0.908, 1.133, -13.122);(356.218, 172.900, 285.300);(0.730, 0.354, 0.585)
R;(0.909, 1.133, -13.129);(357.292, 173.270, 286.678);(0.730, 0.354, 0.585)
R;(0.910, 1.134, -13.137);(357.429, 173.299, 286.935);(0.729, 0.354, 0.586)
R;(0.913, 1.134, -13.147);(358.132, 173.302, 287.580);(0.730, 0.353, 0.586)
R;(0.947, 1.382, -13.256);(345.376, 153.009, 62.926);(0.902, 0.400, 0.164)
R;(0.947, 1.383, -13.256);(345.156, 153.259, 61.926);(0.902, 0.400, 0.162)
R;(0.949, 1.381, -13.257);(345.697, 154.091, 61.971);(0.901, 0.402, 0.162)
R;(0.949, 1.379, -13.256);(346.744, 154.260, 63.090);(0.901, 0.401, 0.164)
R;(0.949, 1.378, -13.256);(347.219, 153.958, 64.127);(0.901, 0.400, 0.166)
R;(0.949, 1.377, -13.257);(347.234, 153.605, 64.366);(0.902, 0.399, 0.167)
R;(0.950, 1.378, -13.257);(346.744, 154.369, 63.231);(0.901, 0.401, 0.164)
R;(0.951, 1.378, -13.258);(345.957, 154.971, 62.442);(0.900, 0.403, 0.163)
R;(0.952, 1.377, -13.259);(345.217, 155.615, 61.562);(0.900, 0.406, 0.160)
R;(0.953, 1.376, -13.261);(345.034, 156.223, 60.581);(0.900, 0.407, 0.158)
R;(0.954, 1.375, -13.264);(344.997, 156.688, 59.724);(0.899, 0.408, 0.156)
R;(0.955, 1.373, -13.267);(344.786, 157.339, 58.921);(0.899, 0.410, 0.154)
R;(0.956, 1.371, -13.271);(344.467, 158.200, 57.558);(0.898, 0.413, 0.150)
R;(0.958, 1.369, -13.275);(343.792, 159.365, 55.414);(0.898, 0.416, 0.145)
R;(0.960, 1.366, -13.280);(343.300, 160.616, 52.783);(0.897, 0.420, 0.138)
R;(0.961, 1.362, -13.285);(343.223, 161.790, 49.875);(0.897, 0.423, 0.130)
R;(0.962, 1.357, -13.290);(343.524, 162.823, 46.306);(0.897, 0.425, 0.121)
R;(0.963, 1.352, -13.295);(343.567, 163.845, 41.920);(0.897, 0.428, 0.109)
R;(0.964, 1.347, -13.301);(343.249, 165.223, 37.115);(0.897, 0.432, 0.097)
R;(0.964, 1.339, -13.306);(343.001, 166.573, 32.553);(0.896, 0.435, 0.085)
R;(0.963, 1.330, -13.310);(343.195, 167.553, 28.652);(0.896, 0.437, 0.075)
R;(0.963, 1.321, -13.314);(343.346, 168.516, 24.799);(0.896, 0.440, 0.065)
R;(0.962, 1.310, -13.318);(343.659, 169.284, 19.794);(0.896, 0.441, 0.052)
R;(0.961, 1.298, -13.321);(344.306, 170.371, 14.355);(0.896, 0.443, 0.037)
R;(0.960, 1.286, -13.324);(345.258, 171.574, 8.970);(0.895, 0.445, 0.023)
R;(0.959, 1.273, -13.325);(345.817, 172.650, 3.099);(0.895, 0.447, 0.008)
R;(0.957, 1.260, -13.326);(346.182, 173.238, 357.889);(0.657, 0.329, 0.679)
R;(0.956, 1.247, -13.326);(346.952, 173.787, 353.391);(0.661, 0.331, 0.673)
R;(0.955, 1.231, -13.324);(347.948, 174.899, 349.965);(0.665, 0.334, 0.668)
R;(0.954, 1.217, -13.322);(348.864, 176.082, 346.508);(0.668, 0.337, 0.663)
R;(0.952, 1.202, -13.318);(350.069, 176.499, 343.361);(0.672, 0.339, 0.659)
R;(0.949, 1.189, -13.312);(351.005, 176.564, 341.244);(0.674, 0.339, 0.656)
R;(0.947, 1.176, -13.304);(351.496, 176.824, 340.241);(0.676, 0.340, 0.654)
R;(0.945, 1.165, -13.297);(351.957, 177.115, 337.640);(0.678, 0.341, 0.651)
R;(0.943, 1.156, -13.291);(352.448, 177.332, 332.947);(0.683, 0.343, 0.645)
R;(0.941, 1.148, -13.284);(352.437, 177.931, 327.065);(0.687, 0.347, 0.638)
R;(0.940, 1.140, -13.275);(353.055, 178.387, 322.214);(0.692, 0.350, 0.632)
R;(0.939, 1.132, -13.264);(353.549, 178.327, 319.262);(0.695, 0.351, 0.628)
R;(0.938, 1.126, -13.252);(353.570, 178.226, 317.522);(0.697, 0.351, 0.626)
R;(0.937, 1.121, -13.241);(353.538, 178.274, 314.857);(0.699, 0.352, 0.622)
R;(0.937, 1.118, -13.231);(353.792, 178.838, 310.094);(0.703, 0.355, 0.616)
R;(0.937, 1.115, -13.221);(353.964, 179.138, 305.330);(0.707, 0.358, 0.610)
R;(0.936, 1.113, -13.209);(353.807, 179.514, 301.493);(0.710, 0.360, 0.605)
R;(0.936, 1.111, -13.195);(353.831, 179.821, 298.774);(0.712, 0.362, 0.601)
R;(0.937, 1.111, -13.183);(354.232, 179.565, 295.752);(0.715, 0.363, 0.597)
R;(0.938, 1.112, -13.170);(354.457, 179.423, 292.799);(0.718, 0.364, 0.593)
R;(0.938, 1.115, -13.159);(354.220, 179.680, 290.052);(0.720, 0.365, 0.590)
R;(0.938, 1.118, -13.149);(353.759, 179.997, 286.804);(0.722, 0.368, 0.586)
R;(0.938, 1.123, -13.138);(353.133, 180.327, 283.171);(0.725, 0.370, 0.581)
R;(0.939, 1.127, -13.128);(353.046, 180.379, 280.627);(0.727, 0.371, 0.578)
R;(0.940, 1.131, -13.119);(352.893, 180.256, 278.922);(0.728, 0.372, 0.576)
R;(0.940, 1.137, -13.111);(352.167, 180.010, 279.497);(0.727, 0.372, 0.577)
R;(0.941, 1.142, -13.106);(351.661, 179.777, 278.862);(0.727, 0.372, 0.577)
R;(0.942, 1.145, -13.103);(351.457, 179.506, 277.739);(0.728, 0.372, 0.576)
R;(0.943, 1.147, -13.102);(351.556, 179.214, 277.322);(0.729, 0.372, 0.575)
R;(0.944, 1.148, -13.102);(352.446, 178.554, 277.684);(0.730, 0.370, 0.575)
R;(0.945, 1.147, -13.103);(353.615, 177.740, 278.160);(0.731, 0.367, 0.575)
R;(0.945, 1.145, -13.107);(354.322, 177.680, 278.566);(0.731, 0.367, 0.575)
R;(0.947, 1.144, -13.109);(354.774, 176.549, 278.918);(0.732, 0.364, 0.576)
