L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
R;(0.998, 1.303, -13.320);(1.000, 1.303, -13.324);0,005;(293.141, 339.700, 23.586);(300.094, 340.285, 22.756);-0,9981538;(0.652, 0.756, 0.052);(0.661, 0.749, 0.050)
R;(0.998, 1.303, -13.320);(1.000, 1.302, -13.324);0,005;(293.141, 339.700, 23.586);(299.801, 340.102, 22.967);-0,9983077;(0.652, 0.756, 0.052);(0.660, 0.749, 0.051)
R;(0.997, 1.303, -13.319);(1.000, 1.302, -13.324);0,007;(291.163, 339.743, 23.185);(299.801, 340.102, 22.967);-0,9971585;(0.650, 0.758, 0.052);(0.660, 0.749, 0.051)
R;(0.996, 1.302, -13.317);(1.000, 1.301, -13.325);0,009;(287.558, 339.897, 22.424);(299.593, 339.970, 23.119);-0,9944685;(0.645, 0.762, 0.050);(0.660, 0.749, 0.051)
R;(0.996, 1.302, -13.317);(1.000, 1.300, -13.325);0,009;(287.558, 339.897, 22.424);(299.249, 339.746, 23.376);-0,9947755;(0.645, 0.762, 0.050);(0.660, 0.749, 0.052)
R;(0.996, 1.301, -13.316);(1.000, 1.300, -13.325);0,010;(287.690, 339.488, 22.460);(299.249, 339.746, 23.376);-0,9948659;(0.646, 0.762, 0.050);(0.660, 0.749, 0.052)
R;(0.996, 1.301, -13.316);(1.000, 1.299, -13.325);0,010;(287.690, 339.488, 22.460);(298.947, 339.545, 23.607);-0,995124;(0.646, 0.762, 0.050);(0.660, 0.750, 0.052)
R;(0.994, 1.300, -13.314);(1.000, 1.299, -13.325);0,012;(286.179, 337.263, 23.644);(298.947, 339.545, 23.607);-0,9936076;(0.646, 0.761, 0.053);(0.660, 0.750, 0.052)
R;(0.989, 1.298, -13.309);(1.000, 1.298, -13.326);0,020;(283.269, 328.456, 28.982);(298.476, 339.221, 23.976);-0,9897231;(0.652, 0.756, 0.067);(0.660, 0.750, 0.053)
R;(0.989, 1.298, -13.309);(1.000, 1.293, -13.327);0,021;(283.269, 328.456, 28.982);(296.813, 337.977, 25.380);-0,991559;(0.652, 0.756, 0.067);(0.659, 0.750, 0.056)
R;(0.989, 1.300, -13.308);(1.000, 1.293, -13.327);0,023;(283.312, 325.352, 32.272);(296.813, 337.977, 25.380);-0,99147;(0.655, 0.752, 0.075);(0.659, 0.750, 0.056)
R;(0.989, 1.300, -13.308);(1.000, 1.293, -13.327);0,023;(283.312, 325.352, 32.272);(296.828, 337.989, 25.366);-0,9914535;(0.655, 0.752, 0.075);(0.659, 0.750, 0.056)
R;(0.989, 1.297, -13.307);(1.000, 1.293, -13.327);0,022;(281.438, 325.088, 31.628);(296.828, 337.989, 25.366);-0,9890475;(0.653, 0.754, 0.073);(0.659, 0.750, 0.056)
R;(0.989, 1.297, -13.307);(1.000, 1.293, -13.327);0,023;(281.438, 325.088, 31.628);(296.725, 337.906, 25.459);-0,9891698;(0.653, 0.754, 0.073);(0.659, 0.750, 0.057)
R;(0.986, 1.296, -13.306);(1.000, 1.293, -13.327);0,025;(279.101, 322.095, 33.356);(296.725, 337.906, 25.459);-0,9854928;(0.653, 0.753, 0.078);(0.659, 0.750, 0.057)
R;(0.986, 1.296, -13.306);(1.000, 1.289, -13.328);0,026;(279.101, 322.095, 33.356);(295.572, 336.929, 26.547);-0,9869916;(0.653, 0.753, 0.078);(0.658, 0.750, 0.059)
R;(0.985, 1.294, -13.304);(1.000, 1.289, -13.328);0,029;(276.838, 315.412, 38.791);(295.572, 336.929, 26.547);-0,9829116;(0.657, 0.748, 0.092);(0.658, 0.750, 0.059)
R;(0.985, 1.294, -13.304);(1.000, 1.287, -13.328);0,029;(276.838, 315.412, 38.791);(294.735, 336.156, 27.402);-0,9840827;(0.657, 0.748, 0.092);(0.658, 0.751, 0.061)
R;(0.983, 1.291, -13.302);(1.000, 1.287, -13.328);0,031;(273.577, 299.569, 53.902);(294.735, 336.156, 27.402);-0,9782355;(0.668, 0.732, 0.132);(0.658, 0.751, 0.061)
R;(0.980, 1.288, -13.300);(1.000, 1.284, -13.329);0,035;(273.679, 182.806, 169.221);(293.847, 335.269, 28.375);-0,9673581;(0.740, 0.494, 0.457);(0.658, 0.751, 0.064)
R;(0.980, 1.288, -13.300);(1.000, 1.280, -13.329);0,037;(273.679, 182.806, 169.221);(292.361, 333.602, 30.187);-0,9702614;(0.740, 0.494, 0.457);(0.658, 0.750, 0.068)
R;(0.980, 1.287, -13.300);(1.000, 1.280, -13.329);0,037;(274.075, 178.315, 173.917);(292.361, 333.602, 30.187);-0,9694777;(0.740, 0.481, 0.470);(0.658, 0.750, 0.068)
R;(0.980, 1.287, -13.300);(1.000, 1.279, -13.329);0,037;(274.075, 178.315, 173.917);(292.144, 333.337, 30.473);-0,9698969;(0.740, 0.481, 0.470);(0.658, 0.750, 0.069)
R;(0.979, 1.285, -13.299);(1.000, 1.279, -13.329);0,038;(277.371, 165.163, 186.536);(292.144, 333.337, 30.473);-0,9621433;(0.744, 0.443, 0.500);(0.658, 0.750, 0.069)
R;(0.977, 1.280, -13.297);(1.000, 1.276, -13.330);0,040;(284.269, 157.673, 192.919);(291.358, 332.326, 31.562);-0,946005;(0.752, 0.417, 0.510);(0.658, 0.750, 0.071)
R;(0.977, 1.280, -13.297);(1.000, 1.271, -13.330);0,041;(284.269, 157.673, 192.919);(289.624, 329.758, 34.302);-0,9505205;(0.752, 0.417, 0.510);(0.658, 0.749, 0.078)
R;(0.977, 1.280, -13.296);(1.000, 1.271, -13.330);0,042;(284.352, 158.714, 192.023);(289.624, 329.758, 34.302);-0,9505503;(0.752, 0.420, 0.508);(0.658, 0.749, 0.078)
R;(0.977, 1.280, -13.296);(1.000, 1.271, -13.330);0,042;(284.352, 158.714, 192.023);(289.609, 329.734, 34.328);-0,9505886;(0.752, 0.420, 0.508);(0.658, 0.749, 0.078)
R;(0.976, 1.277, -13.295);(1.000, 1.271, -13.330);0,043;(287.149, 158.218, 192.050);(289.609, 329.734, 34.328);-0,9428499;(0.756, 0.416, 0.505);(0.658, 0.749, 0.078)
R;(0.974, 1.271, -13.294);(1.000, 1.268, -13.331);0,045;(291.744, 155.778, 193.698);(288.797, 328.336, 35.809);-0,9311579;(0.761, 0.406, 0.505);(0.658, 0.748, 0.082)
R;(0.974, 1.271, -13.294);(1.000, 1.261, -13.331);0,046;(291.744, 155.778, 193.698);(286.657, 323.837, 40.531);-0,9377282;(0.761, 0.406, 0.505);(0.660, 0.746, 0.093)
R;(0.974, 1.269, -13.294);(1.000, 1.261, -13.331);0,046;(290.821, 155.446, 194.214);(286.657, 323.837, 40.531);-0,9404067;(0.760, 0.406, 0.507);(0.660, 0.746, 0.093)
R;(0.974, 1.269, -13.294);(1.000, 1.258, -13.331);0,047;(290.821, 155.446, 194.214);(285.973, 322.072, 42.370);-0,942431;(0.760, 0.406, 0.507);(0.661, 0.744, 0.098)
R;(0.972, 1.260, -13.293);(1.000, 1.258, -13.331);0,047;(293.918, 153.489, 195.724);(285.973, 322.072, 42.370);-0,9330491;(0.763, 0.399, 0.508);(0.661, 0.744, 0.098)
R;(0.972, 1.260, -13.293);(1.000, 1.247, -13.331);0,049;(293.918, 153.489, 195.724);(283.114, 311.798, 52.979);-0,942347;(0.763, 0.399, 0.508);(0.667, 0.735, 0.125)
R;(0.971, 1.255, -13.293);(1.000, 1.247, -13.331);0,049;(294.688, 154.412, 194.926);(283.114, 311.798, 52.979);-0,9406278;(0.764, 0.400, 0.506);(0.667, 0.735, 0.125)
R;(0.969, 1.246, -13.292);(1.000, 1.242, -13.330);0,050;(296.397, 154.001, 195.190);(281.919, 305.018, 59.923);-0,9402215;(0.766, 0.398, 0.505);(0.672, 0.727, 0.143)
R;(0.969, 1.246, -13.292);(1.000, 1.231, -13.329);0,051;(296.397, 154.001, 195.190);(280.189, 287.029, 78.245);-0,9485772;(0.766, 0.398, 0.505);(0.686, 0.702, 0.191)
R;(0.970, 1.246, -13.290);(1.000, 1.231, -13.329);0,052;(296.214, 153.761, 195.633);(280.189, 287.029, 78.245);-0,9491558;(0.766, 0.397, 0.506);(0.686, 0.702, 0.191)
R;(0.970, 1.246, -13.290);(1.000, 1.231, -13.329);0,052;(296.214, 153.761, 195.633);(280.230, 287.755, 77.507);-0,9488824;(0.766, 0.397, 0.506);(0.685, 0.703, 0.189)
R;(0.968, 1.241, -13.288);(1.000, 1.231, -13.329);0,053;(297.044, 151.993, 197.231);(280.230, 287.755, 77.507);-0,9461796;(0.766, 0.392, 0.509);(0.685, 0.703, 0.189)
R;(0.966, 1.233, -13.284);(1.000, 1.223, -13.328);0,056;(299.826, 150.625, 198.240);(279.741, 271.316, 94.195);-0,9443733;(0.769, 0.386, 0.509);(0.698, 0.677, 0.235)
R;(0.966, 1.233, -13.284);(1.000, 1.212, -13.325);0,057;(299.826, 150.625, 198.240);(280.460, 248.696, 117.161);-0,9519086;(0.769, 0.386, 0.509);(0.714, 0.633, 0.298)
R;(0.964, 1.231, -13.283);(1.000, 1.212, -13.325);0,058;(300.210, 150.738, 197.675);(280.460, 248.696, 117.161);-0,9506289;(0.770, 0.387, 0.507);(0.714, 0.633, 0.298)
R;(0.964, 1.231, -13.283);(1.000, 1.209, -13.324);0,058;(300.210, 150.738, 197.675);(280.859, 243.871, 122.070);-0,9523149;(0.770, 0.387, 0.507);(0.717, 0.623, 0.312)
R;(0.962, 1.226, -13.281);(1.000, 1.209, -13.324);0,060;(302.226, 150.251, 197.257);(280.859, 243.871, 122.070);-0,9466178;(0.773, 0.384, 0.505);(0.717, 0.623, 0.312)
R;(0.959, 1.222, -13.277);(1.000, 1.202, -13.322);0,064;(307.108, 150.482, 195.717);(282.313, 232.485, 133.691);-0,9388062;(0.779, 0.382, 0.497);(0.725, 0.597, 0.343)
R;(0.959, 1.222, -13.277);(1.000, 1.193, -13.318);0,065;(307.108, 150.482, 195.717);(284.494, 222.520, 143.932);-0,9446996;(0.779, 0.382, 0.497);(0.732, 0.572, 0.370)
R;(0.959, 1.220, -13.276);(1.000, 1.193, -13.318);0,065;(307.647, 149.219, 196.610);(284.494, 222.520, 143.932);-0,942276;(0.780, 0.378, 0.498);(0.732, 0.572, 0.370)
R;(0.959, 1.220, -13.276);(1.000, 1.190, -13.317);0,065;(307.647, 149.219, 196.610);(285.316, 219.818, 146.727);-0,9441283;(0.780, 0.378, 0.498);(0.734, 0.565, 0.377)
R;(0.959, 1.220, -13.276);(1.000, 1.190, -13.317);0,065;(307.647, 149.219, 196.610);(285.316, 219.818, 146.727);-0,9441283;(0.780, 0.378, 0.498);(0.734, 0.565, 0.377)
R;(0.958, 1.218, -13.272);(1.000, 1.190, -13.317);0,067;(310.909, 148.991, 196.310);(285.316, 219.818, 146.727);-0,9358206;(0.784, 0.376, 0.495);(0.734, 0.565, 0.377)
R;(0.954, 1.210, -13.267);(1.000, 1.187, -13.316);0,071;(315.770, 147.386, 195.982);(286.330, 216.985, 149.673);-0,9224855;(0.790, 0.369, 0.490);(0.736, 0.558, 0.385)
