L/R;Position Real;Rotation Real;Rotation Real Normalized
R;(0.971, 1.343, -13.272);(342.849, 191.751, 97.952);(0.847, 0.474, 0.242)
R;(0.970, 1.343, -13.272);(343.082, 191.211, 96.826);(0.848, 0.473, 0.239)
R;(0.970, 1.344, -13.271);(343.188, 190.809, 95.873);(0.849, 0.472, 0.237)
R;(0.971, 1.346, -13.271);(342.609, 191.686, 93.742);(0.849, 0.475, 0.232)
R;(0.972, 1.346, -13.271);(342.113, 192.375, 92.803);(0.848, 0.477, 0.230)
R;(0.973, 1.347, -13.271);(341.973, 192.888, 92.552);(0.848, 0.478, 0.229)
R;(0.973, 1.347, -13.272);(341.965, 192.831, 92.820);(0.848, 0.478, 0.230)
R;(0.973, 1.348, -13.272);(341.843, 192.556, 93.233);(0.848, 0.477, 0.231)
R;(0.973, 1.349, -13.272);(341.781, 192.315, 93.068);(0.848, 0.477, 0.231)
R;(0.973, 1.350, -13.272);(341.620, 192.418, 92.233);(0.848, 0.478, 0.229)
R;(0.973, 1.351, -13.272);(341.314, 192.921, 90.989);(0.848, 0.479, 0.226)
R;(0.974, 1.352, -13.272);(340.864, 193.550, 89.697);(0.848, 0.481, 0.223)
R;(0.973, 1.353, -13.273);(340.302, 193.900, 88.769);(0.847, 0.483, 0.221)
R;(0.974, 1.354, -13.273);(339.802, 193.984, 88.531);(0.847, 0.484, 0.221)
R;(0.974, 1.354, -13.274);(339.535, 194.097, 88.419);(0.847, 0.484, 0.221)
R;(0.973, 1.355, -13.275);(339.422, 194.290, 87.813);(0.847, 0.485, 0.219)
R;(0.973, 1.355, -13.275);(339.453, 194.260, 86.838);(0.847, 0.485, 0.217)
R;(0.972, 1.355, -13.275);(339.766, 194.263, 85.435);(0.848, 0.485, 0.213)
R;(0.972, 1.355, -13.275);(339.881, 194.496, 84.118);(0.849, 0.486, 0.210)
R;(0.972, 1.355, -13.275);(339.851, 194.866, 82.795);(0.849, 0.487, 0.207)
R;(0.972, 1.355, -13.276);(339.617, 195.279, 81.824);(0.849, 0.488, 0.204)
R;(0.972, 1.354, -13.276);(339.276, 195.664, 81.570);(0.848, 0.489, 0.204)
