L/R;Position Real;Rotation Real;Rotation Real Normalized
R;(0.973, 1.353, -13.277);(338.927, 196.058, 82.006);(0.847, 0.490, 0.205)
R;(0.974, 1.352, -13.278);(338.566, 196.293, 83.433);(0.846, 0.491, 0.209)
R;(0.975, 1.350, -13.278);(338.857, 196.422, 84.259);(0.846, 0.490, 0.210)
R;(0.975, 1.348, -13.278);(339.494, 196.534, 84.379);(0.846, 0.490, 0.210)
R;(0.975, 1.347, -13.277);(340.578, 196.575, 84.152);(0.847, 0.489, 0.209)
R;(0.976, 1.346, -13.277);(341.085, 196.957, 83.650);(0.847, 0.489, 0.208)
R;(0.977, 1.346, -13.277);(340.924, 197.327, 83.423);(0.847, 0.490, 0.207)
R;(0.976, 1.346, -13.277);(340.244, 197.197, 83.614);(0.846, 0.490, 0.208)
R;(0.976, 1.347, -13.277);(340.129, 196.557, 83.808);(0.847, 0.489, 0.209)
R;(0.976, 1.346, -13.277);(340.569, 195.854, 84.002);(0.848, 0.488, 0.209)
R;(0.976, 1.346, -13.278);(340.844, 195.967, 84.007);(0.848, 0.487, 0.209)
R;(0.976, 1.346, -13.278);(340.976, 196.117, 83.514);(0.848, 0.488, 0.208)
R;(0.977, 1.347, -13.279);(340.925, 196.539, 81.688);(0.848, 0.489, 0.203)
R;(0.977, 1.349, -13.279);(340.542, 197.478, 78.982);(0.848, 0.492, 0.197)
R;(0.977, 1.349, -13.279);(340.298, 198.597, 75.696);(0.848, 0.495, 0.189)
R;(0.977, 1.349, -13.279);(340.274, 199.750, 71.594);(0.849, 0.498, 0.179)
R;(0.977, 1.348, -13.279);(340.363, 200.269, 68.697);(0.849, 0.500, 0.171)
R;(0.977, 1.346, -13.280);(340.789, 200.461, 66.925);(0.850, 0.500, 0.167)
R;(0.978, 1.343, -13.281);(341.032, 200.858, 66.394);(0.850, 0.500, 0.165)
R;(0.978, 1.340, -13.282);(340.913, 201.526, 66.283);(0.849, 0.502, 0.165)
R;(0.979, 1.337, -13.282);(340.505, 202.228, 66.158);(0.848, 0.504, 0.165)
R;(0.979, 1.334, -13.283);(340.065, 203.076, 65.486);(0.847, 0.506, 0.163)
R;(0.979, 1.331, -13.283);(339.894, 203.988, 63.895);(0.847, 0.508, 0.159)
R;(0.979, 1.327, -13.283);(340.054, 204.800, 61.890);(0.846, 0.510, 0.154)
R;(0.980, 1.323, -13.283);(340.400, 205.401, 59.955);(0.847, 0.511, 0.149)
R;(0.980, 1.319, -13.283);(340.599, 205.946, 58.637);(0.847, 0.512, 0.146)
R;(0.980, 1.315, -13.283);(340.666, 206.464, 57.651);(0.846, 0.513, 0.143)
R;(0.981, 1.311, -13.284);(340.338, 207.000, 57.441);(0.846, 0.514, 0.143)
R;(0.982, 1.308, -13.285);(340.008, 207.883, 56.865);(0.845, 0.516, 0.141)
R;(0.982, 1.305, -13.285);(339.814, 208.659, 56.012);(0.844, 0.518, 0.139)
R;(0.983, 1.302, -13.285);(339.881, 209.439, 54.739);(0.843, 0.520, 0.136)
R;(0.982, 1.299, -13.286);(340.125, 209.789, 53.366);(0.844, 0.520, 0.132)
R;(0.982, 1.295, -13.286);(340.230, 209.822, 52.525);(0.844, 0.520, 0.130)
R;(0.983, 1.292, -13.287);(340.222, 210.378, 51.564);(0.844, 0.522, 0.128)
R;(0.983, 1.289, -13.287);(340.180, 211.135, 50.455);(0.843, 0.523, 0.125)
R;(0.984, 1.287, -13.288);(340.054, 212.156, 48.769);(0.842, 0.525, 0.121)
R;(0.984, 1.284, -13.288);(340.183, 213.266, 46.177);(0.842, 0.528, 0.114)
R;(0.984, 1.281, -13.289);(340.525, 214.141, 43.389);(0.842, 0.529, 0.107)
R;(0.984, 1.277, -13.289);(340.841, 214.804, 41.022);(0.842, 0.530, 0.101)
R;(0.983, 1.274, -13.289);(340.822, 215.299, 38.413);(0.842, 0.532, 0.095)
R;(0.983, 1.271, -13.289);(340.461, 215.810, 35.205);(0.841, 0.533, 0.087)
R;(0.982, 1.268, -13.290);(339.830, 216.837, 31.433);(0.840, 0.536, 0.078)
R;(0.982, 1.264, -13.290);(339.736, 218.212, 26.864);(0.840, 0.539, 0.066)
R;(0.983, 1.259, -13.289);(340.174, 219.509, 22.491);(0.839, 0.541, 0.055)
R;(0.983, 1.253, -13.288);(340.909, 220.443, 18.512);(0.839, 0.542, 0.046)
R;(0.983, 1.246, -13.287);(341.537, 221.373, 15.301);(0.839, 0.544, 0.038)
R;(0.984, 1.240, -13.286);(342.037, 222.536, 12.259);(0.838, 0.545, 0.030)
R;(0.985, 1.232, -13.285);(342.608, 223.922, 9.398);(0.837, 0.547, 0.023)
R;(0.985, 1.225, -13.283);(343.663, 225.135, 5.115);(0.836, 0.548, 0.012)
R;(0.985, 1.219, -13.281);(344.705, 225.923, 0.414);(0.836, 0.548, 0.001)
R;(0.986, 1.212, -13.278);(346.329, 226.215, 355.409);(0.635, 0.415, 0.652)
R;(0.986, 1.204, -13.274);(347.820, 226.391, 351.597);(0.639, 0.416, 0.646)
R;(0.987, 1.198, -13.271);(348.845, 226.921, 348.581);(0.643, 0.418, 0.642)
R;(0.987, 1.189, -13.266);(349.663, 227.964, 347.593);(0.644, 0.420, 0.640)
R;(0.988, 1.180, -13.260);(350.611, 229.119, 347.473);(0.644, 0.421, 0.638)
R;(0.988, 1.172, -13.253);(351.628, 229.423, 347.473);(0.645, 0.421, 0.638)
R;(0.987, 1.165, -13.246);(352.350, 228.999, 347.294);(0.646, 0.420, 0.637)
R;(0.986, 1.159, -13.238);(352.785, 227.840, 345.965);(0.648, 0.419, 0.636)
R;(0.985, 1.154, -13.232);(353.609, 226.749, 343.064);(0.652, 0.418, 0.633)
R;(0.985, 1.150, -13.226);(354.604, 226.268, 339.396);(0.656, 0.419, 0.628)
R;(0.984, 1.145, -13.219);(355.491, 226.343, 337.060);(0.659, 0.419, 0.625)
R;(0.983, 1.140, -13.210);(356.171, 226.519, 336.636);(0.660, 0.420, 0.624)
R;(0.982, 1.136, -13.201);(356.525, 226.383, 337.039);(0.660, 0.419, 0.624)
R;(0.981, 1.132, -13.193);(356.826, 225.778, 336.545);(0.661, 0.418, 0.623)
R;(0.979, 1.129, -13.186);(357.199, 225.119, 334.225);(0.663, 0.418, 0.621)
R;(0.978, 1.126, -13.178);(357.666, 224.352, 331.258);(0.666, 0.418, 0.617)
R;(0.977, 1.123, -13.170);(358.760, 223.780, 327.897);(0.670, 0.418, 0.613)
R;(0.976, 1.120, -13.163);(0.224, 223.515, 324.765);(0.001, 0.567, 0.824)
R;(0.975, 1.117, -13.155);(1.652, 223.611, 322.330);(0.004, 0.570, 0.822)
R;(0.974, 1.115, -13.147);(2.177, 223.133, 319.592);(0.006, 0.572, 0.820)
R;(0.973, 1.114, -13.140);(2.564, 222.169, 314.780);(0.007, 0.577, 0.817)
R;(0.973, 1.112, -13.132);(3.530, 221.073, 309.652);(0.009, 0.581, 0.814)
R;(0.972, 1.111, -13.124);(4.501, 220.202, 305.305);(0.012, 0.585, 0.811)
R;(0.970, 1.111, -13.114);(5.276, 219.592, 302.165);(0.014, 0.588, 0.809)
R;(0.969, 1.111, -13.105);(6.002, 219.298, 299.502);(0.016, 0.591, 0.807)
R;(0.968, 1.112, -13.097);(6.482, 218.684, 296.376);(0.018, 0.594, 0.805)
R;(0.966, 1.116, -13.084);(6.130, 217.621, 295.264);(0.017, 0.593, 0.805)
R;(0.964, 1.120, -13.074);(5.234, 216.486, 294.437);(0.014, 0.592, 0.806)
R;(0.962, 1.125, -13.064);(4.456, 215.623, 292.585);(0.012, 0.593, 0.805)
R;(0.960, 1.130, -13.056);(3.977, 215.165, 290.737);(0.011, 0.595, 0.804)
R;(0.959, 1.135, -13.046);(3.779, 214.786, 289.373);(0.010, 0.596, 0.803)
R;(0.957, 1.145, -13.036);(3.414, 214.271, 289.039);(0.009, 0.596, 0.803)
R;(0.955, 1.151, -13.027);(2.989, 213.604, 287.479);(0.008, 0.596, 0.803)
R;(0.953, 1.158, -13.019);(2.367, 212.780, 286.296);(0.007, 0.596, 0.803)
R;(0.952, 1.167, -13.010);(1.261, 211.949, 285.868);(0.004, 0.596, 0.803)
R;(0.950, 1.177, -13.002);(359.909, 211.276, 285.876);(0.711, 0.418, 0.565)
R;(0.948, 1.186, -12.994);(358.935, 210.688, 285.970);(0.711, 0.417, 0.566)
R;(0.947, 1.197, -12.987);(358.252, 210.219, 286.289);(0.710, 0.417, 0.567)
R;(0.946, 1.207, -12.981);(357.220, 209.731, 286.173);(0.710, 0.417, 0.568)
R;(0.945, 1.218, -12.976);(355.941, 209.562, 285.696);(0.709, 0.417, 0.569)
R;(0.944, 1.230, -12.971);(354.846, 209.083, 285.515);(0.708, 0.417, 0.570)
R;(0.944, 1.241, -12.966);(353.895, 208.580, 286.080);(0.707, 0.417, 0.571)
R;(0.943, 1.254, -12.962);(352.805, 208.270, 287.284);(0.705, 0.416, 0.574)
R;(0.942, 1.267, -12.959);(351.668, 208.173, 288.902);(0.703, 0.416, 0.577)
R;(0.942, 1.279, -12.956);(350.772, 208.102, 289.849);(0.701, 0.416, 0.579)
R;(0.942, 1.290, -12.956);(349.922, 208.224, 289.813);(0.700, 0.417, 0.580)
R;(0.943, 1.303, -12.956);(348.803, 208.253, 288.566);(0.700, 0.418, 0.579)
R;(0.944, 1.315, -12.957);(347.829, 208.297, 288.212);(0.699, 0.419, 0.579)
R;(0.944, 1.327, -12.957);(346.923, 208.590, 288.739);(0.698, 0.420, 0.581)
R;(0.944, 1.341, -12.959);(345.753, 208.909, 290.505);(0.695, 0.420, 0.584)
R;(0.944, 1.353, -12.961);(344.695, 209.211, 291.941);(0.692, 0.420, 0.586)
R;(0.945, 1.365, -12.965);(343.929, 209.631, 292.887);(0.691, 0.421, 0.588)
R;(0.945, 1.377, -12.969);(343.074, 209.902, 293.322);(0.689, 0.422, 0.589)
R;(0.945, 1.388, -12.974);(342.100, 210.207, 293.524);(0.688, 0.423, 0.590)
R;(0.945, 1.398, -12.978);(341.115, 210.657, 293.988);(0.686, 0.424, 0.591)
R;(0.945, 1.409, -12.984);(340.261, 211.218, 295.296);(0.684, 0.424, 0.593)
R;(0.944, 1.419, -12.989);(338.837, 211.191, 297.407);(0.681, 0.424, 0.597)
R;(0.943, 1.430, -12.994);(337.622, 210.741, 300.916);(0.677, 0.422, 0.603)
R;(0.942, 1.439, -13.000);(336.643, 211.190, 304.694);(0.672, 0.422, 0.608)
R;(0.941, 1.448, -13.009);(335.599, 212.693, 306.770);(0.669, 0.424, 0.611)
R;(0.941, 1.456, -13.019);(334.483, 214.094, 307.377);(0.666, 0.426, 0.612)
R;(0.940, 1.464, -13.027);(333.380, 214.236, 308.817);(0.664, 0.426, 0.615)
R;(0.938, 1.472, -13.035);(332.375, 213.714, 311.811);(0.660, 0.425, 0.619)
R;(0.937, 1.479, -13.042);(331.480, 213.427, 315.957);(0.656, 0.422, 0.625)
R;(0.936, 1.485, -13.051);(330.264, 213.689, 320.479);(0.651, 0.421, 0.632)
R;(0.934, 1.490, -13.060);(328.648, 214.736, 324.667);(0.645, 0.422, 0.637)
R;(0.932, 1.495, -13.071);(326.944, 216.011, 327.528);(0.640, 0.423, 0.641)
R;(0.931, 1.500, -13.081);(325.691, 216.727, 329.797);(0.637, 0.424, 0.645)
R;(0.931, 1.504, -13.091);(324.466, 217.032, 331.735);(0.633, 0.424, 0.648)
R;(0.930, 1.506, -13.102);(323.684, 216.845, 333.937);(0.631, 0.423, 0.651)
R;(0.932, 1.507, -13.113);(323.626, 217.612, 336.380);(0.628, 0.423, 0.653)
R;(0.932, 1.509, -13.122);(323.049, 218.124, 338.930);(0.625, 0.422, 0.656)
R;(0.934, 1.511, -13.132);(323.059, 219.101, 341.002);(0.623, 0.423, 0.658)
R;(0.935, 1.512, -13.142);(323.032, 220.145, 341.382);(0.622, 0.424, 0.658)
R;(0.936, 1.513, -13.151);(323.246, 220.530, 341.119);(0.623, 0.425, 0.657)
R;(0.938, 1.512, -13.159);(324.100, 220.401, 340.918);(0.624, 0.424, 0.656)
R;(0.937, 1.511, -13.161);(323.400, 219.416, 345.097);(0.620, 0.421, 0.662)
R;(0.936, 1.510, -13.164);(322.610, 218.314, 349.227);(0.617, 0.417, 0.668)
R;(0.936, 1.509, -13.167);(321.770, 216.495, 352.945);(0.614, 0.413, 0.673)
R;(0.935, 1.508, -13.169);(321.770, 214.609, 354.970);(0.613, 0.409, 0.676)
R;(0.936, 1.506, -13.170);(322.523, 212.654, 356.165);(0.614, 0.405, 0.678)
R;(0.936, 1.504, -13.171);(323.469, 211.722, 356.500);(0.615, 0.403, 0.678)
R;(0.937, 1.503, -13.172);(324.270, 211.165, 356.543);(0.616, 0.401, 0.678)
R;(0.937, 1.501, -13.170);(326.004, 209.625, 358.606);(0.617, 0.397, 0.679)
R;(0.938, 1.498, -13.169);(327.578, 209.714, 1.483);(0.842, 0.539, 0.004)
R;(0.936, 1.497, -13.167);(326.746, 210.069, 5.317);(0.841, 0.541, 0.014)
R;(0.933, 1.497, -13.163);(325.165, 207.929, 11.493);(0.842, 0.538, 0.030)
R;(0.979, 1.382, -13.119);(8.334, 189.413, 120.766);(0.037, 0.843, 0.537)
R;(0.978, 1.383, -13.123);(8.825, 187.499, 120.174);(0.040, 0.841, 0.539)
R;(0.980, 1.381, -13.125);(9.810, 187.287, 119.993);(0.044, 0.841, 0.539)
R;(0.983, 1.382, -13.126);(9.052, 188.237, 119.736);(0.041, 0.843, 0.536)
R;(0.983, 1.382, -13.127);(8.700, 188.747, 117.659);(0.039, 0.848, 0.529)
R;(0.983, 1.383, -13.128);(8.676, 188.604, 115.278);(0.039, 0.853, 0.521)
R;(0.983, 1.384, -13.129);(8.466, 188.122, 112.890);(0.039, 0.857, 0.514)
R;(0.984, 1.386, -13.130);(7.433, 187.536, 111.269);(0.034, 0.860, 0.510)
R;(0.985, 1.389, -13.133);(5.968, 187.651, 110.545);(0.027, 0.861, 0.507)
R;(0.986, 1.391, -13.136);(4.674, 187.680, 110.936);(0.021, 0.861, 0.509)
R;(0.987, 1.393, -13.139);(3.568, 187.647, 111.519);(0.016, 0.860, 0.511)
R;(0.987, 1.394, -13.141);(2.706, 187.690, 111.508);(0.012, 0.860, 0.511)
R;(0.987, 1.396, -13.144);(2.121, 187.843, 110.797);(0.010, 0.861, 0.508)
R;(0.986, 1.398, -13.147);(1.755, 187.817, 109.402);(0.008, 0.864, 0.503)
R;(0.985, 1.399, -13.150);(1.627, 187.910, 107.329);(0.008, 0.868, 0.496)
R;(0.985, 1.401, -13.153);(1.305, 188.089, 105.736);(0.006, 0.872, 0.490)
R;(0.986, 1.404, -13.157);(0.586, 188.216, 104.416);(0.003, 0.874, 0.485)
R;(0.986, 1.407, -13.161);(359.485, 188.461, 102.903);(0.859, 0.450, 0.246)
R;(0.986, 1.409, -13.164);(358.205, 188.900, 101.156);(0.858, 0.453, 0.242)
R;(0.987, 1.410, -13.168);(357.112, 189.446, 99.172);(0.858, 0.455, 0.238)
R;(0.987, 1.411, -13.172);(356.454, 189.822, 97.471);(0.858, 0.457, 0.235)
R;(0.988, 1.410, -13.177);(356.226, 190.229, 96.660);(0.858, 0.458, 0.233)
R;(0.988, 1.409, -13.181);(356.404, 190.672, 96.116);(0.858, 0.459, 0.231)
R;(0.988, 1.409, -13.185);(356.344, 191.019, 95.533);(0.858, 0.460, 0.230)
R;(0.988, 1.409, -13.189);(356.166, 191.593, 94.997);(0.857, 0.461, 0.229)
R;(0.988, 1.409, -13.192);(355.441, 191.879, 94.032);(0.857, 0.463, 0.227)
R;(0.987, 1.410, -13.196);(354.497, 192.151, 92.662);(0.857, 0.464, 0.224)
R;(0.987, 1.410, -13.199);(353.602, 192.398, 90.856);(0.857, 0.466, 0.220)
R;(0.986, 1.410, -13.203);(352.827, 192.726, 88.741);(0.857, 0.468, 0.216)
R;(0.985, 1.410, -13.206);(352.036, 193.070, 86.550);(0.857, 0.470, 0.211)
R;(0.983, 1.410, -13.210);(351.169, 193.459, 83.974);(0.857, 0.472, 0.205)
R;(0.982, 1.410, -13.215);(350.339, 193.983, 81.534);(0.857, 0.475, 0.200)
R;(0.982, 1.409, -13.219);(349.144, 194.721, 78.784);(0.857, 0.478, 0.193)
R;(0.982, 1.408, -13.223);(348.038, 195.796, 75.626);(0.856, 0.482, 0.186)
R;(0.982, 1.406, -13.227);(347.296, 196.889, 72.428);(0.856, 0.485, 0.179)
R;(0.982, 1.403, -13.230);(346.978, 197.914, 69.646);(0.856, 0.488, 0.172)
R;(0.981, 1.399, -13.233);(347.049, 198.634, 67.593);(0.856, 0.490, 0.167)
R;(0.981, 1.396, -13.236);(347.134, 198.987, 66.497);(0.856, 0.491, 0.164)
R;(0.981, 1.392, -13.239);(346.845, 199.496, 65.844);(0.855, 0.492, 0.162)
R;(0.981, 1.390, -13.241);(346.218, 200.297, 64.580);(0.855, 0.494, 0.159)
R;(0.980, 1.388, -13.242);(345.483, 200.989, 62.578);(0.854, 0.497, 0.155)
R;(0.978, 1.386, -13.242);(345.081, 201.446, 59.259);(0.854, 0.499, 0.147)
R;(0.976, 1.385, -13.243);(344.798, 201.595, 55.980);(0.855, 0.500, 0.139)
R;(0.974, 1.383, -13.244);(344.536, 201.708, 54.051);(0.855, 0.501, 0.134)
