L/R;Position Real;Rotation Real;Rotation Real Normalized
R;(0.935, 1.294, -13.303);(334.545, 120.403, 17.451);(0.940, 0.338, 0.049)
R;(0.937, 1.295, -13.303);(334.928, 120.745, 17.273);(0.940, 0.339, 0.048)
R;(0.938, 1.296, -13.303);(335.997, 120.793, 17.251);(0.940, 0.338, 0.048)
R;(0.939, 1.297, -13.304);(336.595, 121.101, 16.905);(0.940, 0.338, 0.047)
R;(0.939, 1.298, -13.304);(336.407, 121.348, 16.208);(0.940, 0.339, 0.045)
R;(0.938, 1.299, -13.304);(335.395, 121.356, 16.338);(0.939, 0.340, 0.046)
R;(0.937, 1.300, -13.303);(334.125, 120.600, 17.084);(0.940, 0.339, 0.048)
R;(0.937, 1.300, -13.302);(333.604, 120.059, 18.023);(0.940, 0.338, 0.051)
R;(0.937, 1.301, -13.302);(333.485, 120.223, 18.869);(0.939, 0.339, 0.053)
R;(0.937, 1.301, -13.302);(333.397, 120.250, 19.405);(0.939, 0.339, 0.055)
R;(0.937, 1.301, -13.301);(333.378, 120.221, 19.720);(0.939, 0.339, 0.056)
R;(0.937, 1.301, -13.301);(333.665, 120.158, 19.776);(0.939, 0.338, 0.056)
R;(0.937, 1.301, -13.301);(333.886, 120.389, 19.576);(0.939, 0.339, 0.055)
R;(0.937, 1.301, -13.301);(333.886, 120.375, 18.824);(0.939, 0.339, 0.053)
R;(0.936, 1.301, -13.301);(333.685, 120.172, 18.087);(0.940, 0.338, 0.051)
R;(0.935, 1.301, -13.300);(333.785, 119.548, 18.009);(0.940, 0.337, 0.051)
R;(0.936, 1.300, -13.299);(334.115, 119.275, 18.578);(0.940, 0.336, 0.052)
R;(0.936, 1.299, -13.299);(334.290, 119.207, 19.279);(0.941, 0.335, 0.054)
R;(0.936, 1.299, -13.299);(334.230, 119.561, 19.605);(0.940, 0.336, 0.055)
R;(0.936, 1.299, -13.299);(334.149, 120.065, 19.622);(0.940, 0.338, 0.055)
R;(0.936, 1.300, -13.299);(334.061, 120.565, 19.213);(0.939, 0.339, 0.054)
R;(0.935, 1.300, -13.300);(333.772, 120.783, 18.605);(0.939, 0.340, 0.052)
R;(0.934, 1.300, -13.299);(333.378, 120.387, 17.965);(0.939, 0.339, 0.051)
R;(0.934, 1.299, -13.299);(333.429, 119.752, 17.896);(0.940, 0.338, 0.050)
R;(0.935, 1.299, -13.299);(333.781, 119.774, 18.505);(0.940, 0.337, 0.052)
R;(0.935, 1.299, -13.299);(333.980, 119.859, 18.800);(0.940, 0.337, 0.053)
