L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
R;(0.986, 1.419, -13.263);(0.986, 1.420, -13.264);0,001;(344.456, 334.604, 42.830);(344.450, 335.427, 42.522);0,9999758;(0.714, 0.694, 0.089);(0.714, 0.695, 0.088)
R;(0.985, 1.416, -13.259);(0.986, 1.420, -13.264);0,006;(344.344, 332.691, 43.249);(344.450, 335.427, 42.522);0,9997353;(0.716, 0.692, 0.090);(0.714, 0.695, 0.088)
R;(0.984, 1.417, -13.259);(0.986, 1.420, -13.264);0,006;(343.843, 332.863, 43.102);(344.450, 335.427, 42.522);0,999754;(0.716, 0.693, 0.090);(0.714, 0.695, 0.088)
R;(0.984, 1.417, -13.259);(0.986, 1.420, -13.264);0,006;(343.843, 332.863, 43.102);(344.450, 335.427, 42.522);0,999754;(0.716, 0.693, 0.090);(0.714, 0.695, 0.088)
R;(0.984, 1.415, -13.259);(0.986, 1.420, -13.264);0,006;(344.179, 333.227, 42.416);(344.450, 335.427, 42.522);0,9998078;(0.716, 0.693, 0.088);(0.714, 0.695, 0.088)
R;(0.984, 1.415, -13.259);(0.986, 1.420, -13.264);0,006;(344.179, 333.227, 42.416);(344.450, 335.427, 42.522);0,9998078;(0.716, 0.693, 0.088);(0.714, 0.695, 0.088)
R;(0.984, 1.413, -13.259);(0.986, 1.420, -13.264);0,009;(344.280, 332.873, 41.845);(344.450, 335.427, 42.522);0,9996979;(0.716, 0.692, 0.087);(0.714, 0.695, 0.088)
R;(0.982, 1.412, -13.255);(0.986, 1.420, -13.264);0,013;(343.521, 330.456, 42.703);(344.450, 335.427, 42.522);0,9990444;(0.718, 0.691, 0.089);(0.714, 0.695, 0.088)
R;(0.982, 1.412, -13.255);(0.986, 1.420, -13.264);0,013;(343.521, 330.456, 42.703);(344.450, 335.427, 42.522);0,9990444;(0.718, 0.691, 0.089);(0.714, 0.695, 0.088)
R;(0.982, 1.413, -13.256);(0.986, 1.420, -13.264);0,011;(342.721, 330.678, 43.239);(344.450, 335.427, 42.522);0,9990814;(0.717, 0.692, 0.090);(0.714, 0.695, 0.088)
R;(0.982, 1.413, -13.256);(0.986, 1.420, -13.264);0,011;(342.721, 330.678, 43.239);(344.450, 335.427, 42.522);0,9990814;(0.717, 0.692, 0.090);(0.714, 0.695, 0.088)
R;(0.983, 1.413, -13.254);(0.986, 1.420, -13.264);0,012;(341.798, 330.058, 43.803);(344.450, 335.427, 42.522);0,9987249;(0.716, 0.692, 0.092);(0.714, 0.695, 0.088)
R;(0.983, 1.412, -13.252);(0.986, 1.420, -13.264);0,015;(339.932, 329.667, 44.138);(344.450, 335.427, 42.522);0,9980785;(0.715, 0.693, 0.093);(0.714, 0.695, 0.088)
R;(0.983, 1.412, -13.252);(0.986, 1.420, -13.264);0,015;(339.932, 329.667, 44.138);(344.450, 335.427, 42.522);0,9980785;(0.715, 0.693, 0.093);(0.714, 0.695, 0.088)
R;(0.983, 1.411, -13.252);(0.986, 1.420, -13.264);0,015;(340.268, 330.009, 43.890);(344.450, 335.427, 42.522);0,9983176;(0.715, 0.693, 0.092);(0.714, 0.695, 0.088)
R;(0.983, 1.411, -13.252);(0.986, 1.420, -13.264);0,015;(340.268, 330.009, 43.890);(344.450, 335.427, 42.522);0,9983177;(0.715, 0.693, 0.092);(0.714, 0.695, 0.088)
R;(0.983, 1.410, -13.252);(0.986, 1.420, -13.264);0,016;(340.517, 329.777, 43.903);(344.450, 335.427, 42.522);0,9983031;(0.715, 0.693, 0.092);(0.714, 0.695, 0.088)
R;(0.983, 1.412, -13.251);(0.986, 1.420, -13.264);0,016;(341.784, 328.705, 45.478);(344.449, 335.427, 42.522);0,9981174;(0.717, 0.690, 0.095);(0.714, 0.695, 0.088)
R;(0.983, 1.412, -13.251);(0.986, 1.420, -13.264);0,016;(341.784, 328.705, 45.478);(344.449, 335.427, 42.522);0,9981174;(0.717, 0.690, 0.095);(0.714, 0.695, 0.088)
R;(0.984, 1.413, -13.251);(0.986, 1.420, -13.264);0,015;(342.164, 328.974, 45.636);(344.449, 335.427, 42.522);0,9982873;(0.718, 0.690, 0.096);(0.714, 0.695, 0.088)
R;(0.984, 1.413, -13.251);(0.986, 1.420, -13.264);0,015;(342.164, 328.974, 45.636);(344.449, 335.427, 42.522);0,9982873;(0.718, 0.690, 0.096);(0.714, 0.695, 0.088)
R;(0.984, 1.414, -13.251);(0.986, 1.420, -13.264);0,014;(342.777, 328.854, 46.571);(344.449, 335.427, 42.522);0,9981974;(0.718, 0.689, 0.098);(0.714, 0.695, 0.088)
R;(0.984, 1.414, -13.251);(0.986, 1.420, -13.264);0,014;(342.777, 328.854, 46.571);(344.449, 335.427, 42.522);0,9981976;(0.718, 0.689, 0.098);(0.714, 0.695, 0.088)
R;(0.985, 1.415, -13.250);(0.986, 1.420, -13.264);0,014;(343.110, 328.633, 47.004);(344.449, 335.427, 42.522);0,9980587;(0.719, 0.688, 0.098);(0.714, 0.695, 0.088)
R;(0.985, 1.415, -13.248);(0.986, 1.420, -13.264);0,016;(343.063, 328.104, 47.307);(344.449, 335.427, 42.522);0,9977616;(0.719, 0.688, 0.099);(0.714, 0.695, 0.088)
R;(0.985, 1.415, -13.248);(0.986, 1.420, -13.264);0,016;(343.063, 328.104, 47.307);(344.449, 335.427, 42.522);0,9977616;(0.719, 0.688, 0.099);(0.714, 0.695, 0.088)
R;(0.985, 1.415, -13.248);(0.986, 1.420, -13.264);0,016;(342.406, 328.361, 46.742);(344.449, 335.427, 42.522);0,9979115;(0.718, 0.689, 0.098);(0.714, 0.695, 0.088)
R;(0.985, 1.415, -13.248);(0.986, 1.420, -13.264);0,016;(342.406, 328.361, 46.742);(344.449, 335.427, 42.522);0,9979115;(0.718, 0.689, 0.098);(0.714, 0.695, 0.088)
R;(0.986, 1.414, -13.248);(0.986, 1.420, -13.264);0,017;(341.856, 328.466, 46.419);(344.449, 335.427, 42.522);0,9979213;(0.718, 0.690, 0.097);(0.714, 0.695, 0.088)
R;(0.986, 1.414, -13.247);(0.986, 1.420, -13.264);0,018;(340.936, 328.392, 46.155);(344.449, 335.427, 42.522);0,9977247;(0.717, 0.690, 0.097);(0.714, 0.695, 0.088)
R;(0.986, 1.414, -13.247);(0.986, 1.420, -13.264);0,018;(340.936, 328.392, 46.155);(344.449, 335.427, 42.522);0,9977247;(0.717, 0.690, 0.097);(0.714, 0.695, 0.088)
R;(0.986, 1.414, -13.247);(0.986, 1.420, -13.264);0,017;(340.642, 328.735, 46.056);(344.449, 335.427, 42.522);0,9978096;(0.716, 0.691, 0.097);(0.714, 0.695, 0.088)
R;(0.986, 1.414, -13.247);(0.986, 1.420, -13.264);0,017;(340.642, 328.735, 46.056);(344.449, 335.427, 42.522);0,9978098;(0.716, 0.691, 0.097);(0.714, 0.695, 0.088)
R;(0.987, 1.415, -13.246);(0.986, 1.420, -13.264);0,019;(340.133, 328.296, 46.390);(344.449, 335.427, 42.522);0,997427;(0.716, 0.691, 0.098);(0.714, 0.695, 0.088)
R;(0.987, 1.415, -13.246);(0.986, 1.420, -13.264);0,019;(340.133, 328.296, 46.390);(344.449, 335.427, 42.522);0,997427;(0.716, 0.691, 0.098);(0.714, 0.695, 0.088)
R;(0.986, 1.415, -13.245);(0.986, 1.420, -13.264);0,019;(339.699, 328.052, 47.004);(344.449, 335.427, 42.522);0,997084;(0.716, 0.691, 0.099);(0.714, 0.695, 0.088)
R;(0.986, 1.415, -13.245);(0.986, 1.420, -13.264);0,019;(339.699, 328.052, 47.004);(344.449, 335.427, 42.522);0,997084;(0.716, 0.691, 0.099);(0.714, 0.695, 0.088)
R;(0.986, 1.416, -13.245);(0.986, 1.420, -13.264);0,019;(338.893, 327.482, 47.994);(344.449, 335.427, 42.522);0,9963293;(0.715, 0.691, 0.101);(0.714, 0.695, 0.088)
R;(0.986, 1.416, -13.245);(0.986, 1.420, -13.264);0,019;(338.893, 327.482, 47.994);(344.449, 335.427, 42.522);0,9963291;(0.715, 0.691, 0.101);(0.714, 0.695, 0.088)
R;(0.987, 1.416, -13.245);(0.986, 1.420, -13.264);0,019;(338.355, 327.148, 48.164);(344.449, 335.427, 42.522);0,9959071;(0.715, 0.691, 0.102);(0.714, 0.695, 0.088)
R;(0.987, 1.415, -13.245);(0.986, 1.420, -13.264);0,020;(337.316, 326.906, 47.881);(344.449, 335.427, 42.522);0,9953542;(0.714, 0.692, 0.101);(0.714, 0.695, 0.088)
R;(0.987, 1.415, -13.245);(0.986, 1.420, -13.264);0,020;(337.316, 326.906, 47.881);(344.449, 335.427, 42.522);0,9953542;(0.714, 0.692, 0.101);(0.714, 0.695, 0.088)
R;(0.987, 1.416, -13.242);(0.986, 1.420, -13.264);0,022;(337.110, 326.182, 48.257);(344.449, 335.427, 42.522);0,9947858;(0.715, 0.692, 0.102);(0.714, 0.695, 0.088)
R;(0.987, 1.416, -13.242);(0.986, 1.420, -13.264);0,022;(337.110, 326.182, 48.257);(344.449, 335.427, 42.522);0,9947858;(0.715, 0.692, 0.102);(0.714, 0.695, 0.088)
R;(0.987, 1.416, -13.242);(0.986, 1.420, -13.264);0,022;(336.834, 326.333, 47.990);(344.449, 335.427, 42.522);0,9947736;(0.714, 0.692, 0.102);(0.714, 0.695, 0.088)
R;(0.987, 1.415, -13.241);(0.986, 1.420, -13.264);0,023;(336.560, 326.314, 47.816);(344.449, 335.427, 42.522);0,9946413;(0.714, 0.693, 0.101);(0.714, 0.695, 0.088)
R;(0.987, 1.415, -13.241);(0.986, 1.420, -13.264);0,023;(336.560, 326.314, 47.816);(344.449, 335.427, 42.522);0,9946413;(0.714, 0.693, 0.101);(0.714, 0.695, 0.088)
