Position;
(-1.312, 0.000, -7.012)
(-0.579, 0.000, -9.690)
(0.205, 0.000, -10.609)
(0.857, 0.000, -13.665)
(0.251, 0.000, -12.891)
(0.746, 0.000, -13.180)
(0.845, 0.000, -17.271)
(0.647, 0.000, -16.971)
(0.047, 0.000, -6.618)
(-0.315, 0.000, 0.666)
(-0.495, 0.000, 7.558)
(-0.352, 0.000, 14.954)
(-0.695, 0.000, 21.092)
(0.073, 0.000, 29.616)
(0.437, 0.000, 18.268)
(0.356, 0.000, 12.242)
(0.308, 0.000, 6.012)
(0.350, 0.000, -0.302)
(0.053, 0.000, -7.576)
(-0.274, 0.000, -11.052)
(-0.298, 0.000, -2.483)
(-0.560, 0.000, 6.352)
(-0.553, 0.000, 15.314)
(-0.870, 0.000, 24.465)
(-0.446, 0.000, 33.779)
(2.196, 0.000, 31.834)
(-0.938, 0.000, 30.567)
(-0.497, 0.000, 34.834)
(-3.352, 0.000, 34.599)
(-0.888, 0.000, 36.415)
(-3.845, 0.000, 36.208)
(-3.845, 0.000, 35.050)
