L/R;Position Real;Rotation Real;Rotation Real Normalized
R;(0.949, 1.193, -13.161);(349.335, 106.076, 4.970);(0.957, 0.291, 0.014)
R;(0.949, 1.192, -13.161);(349.687, 106.047, 5.073);(0.957, 0.290, 0.014)
R;(0.949, 1.191, -13.161);(350.116, 105.490, 5.749);(0.957, 0.288, 0.016)
R;(0.948, 1.190, -13.161);(349.959, 104.697, 6.336);(0.958, 0.287, 0.017)
R;(0.947, 1.189, -13.161);(349.796, 103.976, 7.072);(0.958, 0.285, 0.019)
R;(0.948, 1.187, -13.161);(350.048, 104.173, 7.698);(0.958, 0.285, 0.021)
R;(0.948, 1.186, -13.162);(350.169, 104.769, 7.681);(0.958, 0.287, 0.021)
R;(0.947, 1.186, -13.162);(350.054, 105.066, 7.355);(0.958, 0.287, 0.020)
R;(0.947, 1.184, -13.162);(350.092, 105.421, 7.260);(0.957, 0.288, 0.020)
R;(0.947, 1.184, -13.163);(350.252, 106.202, 7.390);(0.957, 0.290, 0.020)
R;(0.947, 1.183, -13.163);(349.880, 106.626, 7.177);(0.956, 0.291, 0.020)
R;(0.946, 1.183, -13.163);(349.736, 106.557, 7.288);(0.956, 0.291, 0.020)
R;(0.946, 1.183, -13.163);(349.597, 106.381, 7.706);(0.956, 0.291, 0.021)
R;(0.945, 1.183, -13.163);(349.258, 106.439, 7.965);(0.956, 0.291, 0.022)
R;(0.945, 1.184, -13.163);(348.924, 106.791, 8.092);(0.956, 0.293, 0.022)
R;(0.945, 1.184, -13.163);(348.868, 107.353, 8.089);(0.956, 0.294, 0.022)
R;(0.944, 1.184, -13.163);(348.582, 107.841, 7.898);(0.955, 0.295, 0.022)
R;(0.944, 1.184, -13.163);(348.306, 107.706, 7.807);(0.955, 0.295, 0.021)
R;(0.944, 1.184, -13.163);(348.143, 107.700, 8.128);(0.955, 0.295, 0.022)
R;(0.944, 1.185, -13.163);(347.875, 107.966, 8.333);(0.955, 0.296, 0.023)
R;(0.944, 1.185, -13.163);(347.425, 108.195, 8.455);(0.955, 0.297, 0.023)
R;(0.944, 1.186, -13.163);(347.069, 108.569, 8.584);(0.954, 0.298, 0.024)
R;(0.944, 1.186, -13.164);(346.761, 108.891, 8.578);(0.954, 0.300, 0.024)
R;(0.944, 1.186, -13.164);(346.588, 109.289, 8.619);(0.953, 0.301, 0.024)
R;(0.944, 1.187, -13.164);(346.280, 109.511, 8.499);(0.953, 0.301, 0.023)
R;(0.943, 1.187, -13.164);(346.003, 109.115, 8.813);(0.953, 0.301, 0.024)
R;(0.943, 1.187, -13.164);(345.914, 108.573, 9.410);(0.954, 0.299, 0.026)
R;(0.943, 1.187, -13.164);(345.860, 108.342, 9.882);(0.954, 0.299, 0.027)
R;(0.943, 1.187, -13.164);(345.806, 108.544, 9.960);(0.954, 0.299, 0.027)
R;(0.944, 1.188, -13.165);(345.689, 108.964, 9.734);(0.953, 0.301, 0.027)
R;(0.944, 1.188, -13.165);(345.496, 109.330, 9.386);(0.953, 0.302, 0.026)
R;(0.943, 1.189, -13.165);(345.205, 109.140, 9.132);(0.953, 0.301, 0.025)
R;(0.943, 1.189, -13.166);(344.966, 108.978, 9.391);(0.953, 0.301, 0.026)
R;(0.943, 1.189, -13.166);(344.774, 109.080, 9.812);(0.953, 0.302, 0.027)
R;(0.944, 1.189, -13.167);(344.591, 109.268, 10.113);(0.953, 0.302, 0.028)
R;(0.944, 1.189, -13.167);(344.509, 109.520, 10.373);(0.953, 0.303, 0.029)
R;(0.945, 1.189, -13.168);(344.299, 109.989, 10.395);(0.952, 0.304, 0.029)
R;(0.945, 1.189, -13.170);(343.889, 110.411, 10.052);(0.952, 0.306, 0.028)
R;(0.946, 1.189, -13.171);(343.611, 110.712, 9.890);(0.951, 0.307, 0.027)
R;(0.947, 1.189, -13.173);(343.709, 111.140, 9.725);(0.951, 0.308, 0.027)
R;(0.948, 1.189, -13.174);(343.852, 111.551, 9.196);(0.951, 0.308, 0.025)
R;(0.949, 1.189, -13.176);(344.107, 111.906, 8.639);(0.951, 0.309, 0.024)
R;(0.951, 1.187, -13.178);(344.441, 112.430, 8.366);(0.950, 0.310, 0.023)
R;(0.952, 1.186, -13.179);(344.701, 112.726, 8.345);(0.950, 0.311, 0.023)
R;(0.953, 1.184, -13.180);(345.062, 113.150, 8.399);(0.950, 0.312, 0.023)
R;(0.954, 1.182, -13.181);(345.722, 113.604, 7.978);(0.950, 0.312, 0.022)
R;(0.955, 1.179, -13.183);(346.530, 113.924, 6.850);(0.950, 0.312, 0.019)
R;(0.957, 1.176, -13.184);(347.786, 114.415, 5.338);(0.950, 0.312, 0.015)
R;(0.958, 1.172, -13.184);(349.463, 114.656, 3.096);(0.950, 0.312, 0.008)
R;(0.959, 1.167, -13.183);(351.034, 114.281, 1.179);(0.951, 0.310, 0.003)
R;(0.960, 1.162, -13.182);(352.103, 114.121, 0.439);(0.951, 0.308, 0.001)
R;(0.961, 1.156, -13.179);(352.860, 113.751, 0.815);(0.952, 0.307, 0.002)
R;(0.961, 1.150, -13.175);(354.083, 112.860, 0.866);(0.953, 0.304, 0.002)
R;(0.962, 1.145, -13.173);(355.368, 112.376, 0.256);(0.953, 0.302, 0.001)
R;(0.962, 1.141, -13.169);(356.845, 111.416, 359.134);(0.688, 0.215, 0.693)
R;(0.963, 1.137, -13.166);(358.334, 110.576, 357.439);(0.692, 0.213, 0.690)
R;(0.964, 1.134, -13.162);(0.118, 109.526, 354.804);(0.000, 0.295, 0.956)
R;(0.964, 1.132, -13.156);(1.441, 107.984, 352.100);(0.004, 0.293, 0.956)
R;(0.964, 1.130, -13.152);(2.366, 106.939, 350.685);(0.006, 0.292, 0.956)
R;(0.963, 1.130, -13.146);(2.030, 105.630, 350.397);(0.006, 0.289, 0.957)
R;(0.961, 1.133, -13.140);(0.748, 104.107, 350.278);(0.002, 0.285, 0.959)
R;(0.959, 1.136, -13.134);(359.158, 102.558, 350.289);(0.701, 0.200, 0.684)
R;(0.959, 1.138, -13.128);(358.239, 101.999, 351.304);(0.700, 0.199, 0.686)
R;(0.958, 1.142, -13.122);(357.574, 101.757, 352.492);(0.698, 0.199, 0.688)
R;(0.956, 1.148, -13.117);(356.737, 100.867, 352.326);(0.698, 0.197, 0.689)
R;(0.955, 1.154, -13.112);(356.016, 99.591, 351.081);(0.698, 0.195, 0.689)
R;(0.953, 1.162, -13.106);(354.978, 97.918, 349.312);(0.699, 0.193, 0.688)
R;(0.951, 1.169, -13.101);(353.645, 96.482, 348.439);(0.699, 0.191, 0.689)
R;(0.948, 1.176, -13.097);(352.057, 95.297, 348.446);(0.698, 0.189, 0.691)
R;(0.947, 1.183, -13.092);(351.416, 94.773, 349.362);(0.697, 0.188, 0.692)
R;(0.946, 1.189, -13.089);(350.668, 94.204, 349.703);(0.696, 0.187, 0.694)
R;(0.944, 1.198, -13.086);(349.325, 93.462, 349.366);(0.695, 0.186, 0.695)
R;(0.943, 1.206, -13.084);(348.350, 92.724, 349.151);(0.694, 0.185, 0.696)
R;(0.941, 1.213, -13.082);(347.435, 91.868, 348.829);(0.694, 0.183, 0.696)
R;(0.940, 1.221, -13.081);(346.578, 90.889, 347.456);(0.694, 0.182, 0.696)
R;(0.938, 1.229, -13.081);(345.753, 90.136, 345.846);(0.695, 0.181, 0.695)
R;(0.936, 1.238, -13.081);(344.735, 89.594, 344.582);(0.696, 0.181, 0.695)
R;(0.934, 1.245, -13.081);(343.541, 89.413, 344.343);(0.695, 0.181, 0.696)
R;(0.932, 1.253, -13.081);(342.561, 89.397, 345.220);(0.693, 0.181, 0.698)
R;(0.930, 1.260, -13.082);(341.419, 88.979, 345.745);(0.691, 0.180, 0.700)
R;(0.927, 1.268, -13.084);(340.196, 88.256, 345.285);(0.690, 0.179, 0.701)
R;(0.925, 1.276, -13.087);(339.075, 87.719, 344.685);(0.690, 0.179, 0.701)
R;(0.923, 1.284, -13.090);(337.697, 87.218, 344.225);(0.689, 0.178, 0.702)
R;(0.921, 1.293, -13.095);(335.957, 87.689, 343.671);(0.688, 0.179, 0.703)
R;(0.919, 1.300, -13.100);(334.409, 88.121, 343.328);(0.686, 0.181, 0.705)
R;(0.918, 1.308, -13.105);(333.365, 89.062, 343.752);(0.684, 0.183, 0.706)
R;(0.916, 1.315, -13.111);(331.946, 89.788, 344.043);(0.682, 0.185, 0.707)
R;(0.914, 1.322, -13.117);(330.478, 90.143, 344.248);(0.680, 0.186, 0.709)
R;(0.912, 1.328, -13.125);(329.161, 90.595, 343.783);(0.679, 0.187, 0.710)
R;(0.910, 1.335, -13.133);(327.852, 91.070, 342.149);(0.679, 0.189, 0.709)
R;(0.908, 1.340, -13.142);(326.792, 91.823, 340.313);(0.680, 0.191, 0.708)
R;(0.907, 1.345, -13.151);(325.888, 92.853, 338.890);(0.680, 0.194, 0.707)
R;(0.906, 1.349, -13.159);(325.104, 94.157, 338.589);(0.679, 0.197, 0.707)
R;(0.905, 1.353, -13.168);(324.287, 95.696, 338.828);(0.677, 0.200, 0.708)
R;(0.904, 1.355, -13.177);(323.221, 97.528, 339.368);(0.675, 0.204, 0.709)
R;(0.904, 1.357, -13.187);(322.224, 99.232, 339.554);(0.673, 0.207, 0.710)
R;(0.903, 1.359, -13.196);(321.465, 101.196, 338.947);(0.673, 0.212, 0.709)
R;(0.903, 1.359, -13.206);(321.070, 103.004, 337.783);(0.673, 0.216, 0.708)
R;(0.903, 1.359, -13.216);(320.926, 104.632, 336.466);(0.673, 0.220, 0.706)
