L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
R;(1.001, 1.405, -13.294);(1.003, 1.410, -13.289);0.007;(338.450, 327.447, 56.540);(343.764, 329.127, 55.053);0.9987949;(0.714, 0.690, 0.119);(0.718, 0.687, 0.115)
R;(1.001, 1.405, -13.294);(1.003, 1.408, -13.292);0.005;(338.450, 327.447, 56.540);(343.076, 329.004, 55.483);0.9990919;(0.714, 0.690, 0.119);(0.717, 0.687, 0.116)
R;(1.001, 1.405, -13.294);(1.003, 1.408, -13.292);0.005;(338.450, 327.447, 56.540);(343.076, 329.004, 55.483);0.9990919;(0.714, 0.690, 0.119);(0.717, 0.687, 0.116)
R;(1.002, 1.397, -13.300);(1.003, 1.408, -13.292);0.014;(333.227, 326.741, 56.961);(343.076, 329.004, 55.483);0.9961264;(0.709, 0.695, 0.121);(0.717, 0.687, 0.116)
R;(1.002, 1.397, -13.300);(1.003, 1.402, -13.299);0.005;(333.227, 326.741, 56.961);(340.756, 328.545, 56.963);0.9977186;(0.709, 0.695, 0.121);(0.715, 0.689, 0.119)
R;(1.002, 1.397, -13.300);(1.003, 1.402, -13.299);0.005;(333.227, 326.741, 56.961);(340.756, 328.545, 56.963);0.9977186;(0.709, 0.695, 0.121);(0.715, 0.689, 0.119)
R;(1.001, 1.386, -13.308);(1.003, 1.402, -13.299);0.018;(324.577, 323.468, 59.955);(340.756, 328.545, 56.963);0.9892713;(0.702, 0.700, 0.130);(0.715, 0.689, 0.119)
R;(1.001, 1.386, -13.308);(1.003, 1.392, -13.309);0.007;(324.577, 323.468, 59.955);(337.338, 327.731, 59.237);0.9932119;(0.702, 0.700, 0.130);(0.712, 0.691, 0.125)
R;(1.001, 1.386, -13.308);(1.003, 1.392, -13.309);0.007;(324.577, 323.468, 59.955);(337.338, 327.731, 59.237);0.9932119;(0.702, 0.700, 0.130);(0.712, 0.691, 0.125)
R;(0.999, 1.380, -13.312);(1.003, 1.392, -13.309);0.013;(320.519, 319.748, 63.256);(337.338, 327.731, 59.237);0.987502;(0.701, 0.699, 0.138);(0.712, 0.691, 0.125)
