L/R;Position Real;Rotation Real;Rotation Real Normalized
R;(0.968, 1.340, -13.317);(349.759, 65.267, 29.039);(0.980, 0.183, 0.081)
R;(0.967, 1.338, -13.315);(351.126, 63.869, 27.946);(0.981, 0.178, 0.078)
R;(0.967, 1.335, -13.315);(353.215, 64.389, 26.269);(0.981, 0.179, 0.073)
R;(0.966, 1.336, -13.315);(353.267, 63.995, 23.490);(0.982, 0.178, 0.065)
R;(0.963, 1.336, -13.316);(351.973, 63.611, 22.130);(0.982, 0.178, 0.062)
R;(0.962, 1.334, -13.315);(351.149, 63.446, 23.179);(0.982, 0.177, 0.065)
R;(0.961, 1.333, -13.315);(350.810, 63.991, 24.752);(0.981, 0.179, 0.069)
R;(0.960, 1.332, -13.315);(350.404, 64.329, 26.295);(0.981, 0.180, 0.074)
R;(0.959, 1.332, -13.316);(349.881, 64.391, 26.482);(0.981, 0.180, 0.074)
R;(0.958, 1.332, -13.316);(349.742, 64.389, 25.658);(0.981, 0.181, 0.072)
R;(0.957, 1.331, -13.316);(349.947, 64.014, 25.041);(0.981, 0.179, 0.070)
R;(0.957, 1.330, -13.316);(350.250, 63.668, 25.158);(0.981, 0.178, 0.070)
R;(0.957, 1.329, -13.317);(350.072, 63.911, 25.761);(0.981, 0.179, 0.072)
R;(0.957, 1.329, -13.318);(349.047, 65.054, 26.124);(0.980, 0.183, 0.073)
R;(0.957, 1.329, -13.319);(348.021, 65.989, 25.154);(0.980, 0.186, 0.071)
R;(0.957, 1.329, -13.319);(347.184, 66.573, 24.643);(0.980, 0.188, 0.070)
R;(0.956, 1.327, -13.320);(347.215, 66.356, 23.708);(0.980, 0.187, 0.067)
R;(0.956, 1.323, -13.319);(348.055, 66.304, 22.950);(0.980, 0.187, 0.065)
R;(0.955, 1.321, -13.320);(348.539, 66.637, 21.902);(0.980, 0.187, 0.062)
R;(0.955, 1.319, -13.320);(348.209, 67.315, 20.747);(0.980, 0.189, 0.058)
R;(0.955, 1.315, -13.322);(346.185, 69.298, 18.024);(0.979, 0.196, 0.051)
R;(0.954, 1.311, -13.323);(345.527, 69.928, 16.236);(0.979, 0.198, 0.046)
R;(0.953, 1.299, -13.324);(345.357, 71.905, 13.380);(0.978, 0.204, 0.038)
R;(0.953, 1.291, -13.323);(345.703, 72.988, 12.931);(0.978, 0.206, 0.037)
R;(0.951, 1.282, -13.323);(345.725, 73.912, 11.631);(0.977, 0.209, 0.033)
R;(0.950, 1.273, -13.323);(345.846, 74.858, 8.204);(0.977, 0.211, 0.023)
R;(0.949, 1.264, -13.323);(346.483, 75.631, 3.394);(0.977, 0.213, 0.010)
R;(0.948, 1.253, -13.321);(347.330, 76.236, 1.678);(0.977, 0.214, 0.005)
R;(0.944, 1.240, -13.316);(347.150, 76.414, 4.980);(0.977, 0.215, 0.014)
R;(0.940, 1.229, -13.313);(345.535, 75.402, 8.938);(0.977, 0.213, 0.025)
R;(0.935, 1.220, -13.311);(343.000, 74.916, 10.247);(0.977, 0.213, 0.029)
R;(0.933, 1.210, -13.309);(341.677, 75.247, 7.326);(0.976, 0.215, 0.021)
R;(0.931, 1.200, -13.307);(342.667, 75.740, 1.681);(0.976, 0.216, 0.005)
R;(0.931, 1.189, -13.304);(345.657, 76.934, 357.575);(0.687, 0.153, 0.711)
R;(0.930, 1.177, -13.298);(348.763, 77.282, 356.948);(0.691, 0.153, 0.707)
R;(0.927, 1.168, -13.293);(349.642, 77.086, 357.131);(0.691, 0.152, 0.706)
R;(0.924, 1.162, -13.289);(347.753, 77.069, 357.078);(0.689, 0.153, 0.708)
R;(0.923, 1.154, -13.285);(347.852, 77.290, 356.003);(0.691, 0.153, 0.707)
R;(0.922, 1.146, -13.279);(348.498, 77.236, 354.777);(0.692, 0.153, 0.705)
R;(0.922, 1.138, -13.272);(350.411, 77.441, 353.886);(0.695, 0.154, 0.702)
R;(0.923, 1.130, -13.265);(352.442, 77.969, 353.423);(0.698, 0.154, 0.700)
R;(0.923, 1.124, -13.259);(353.785, 78.619, 352.901);(0.699, 0.155, 0.698)
R;(0.922, 1.118, -13.250);(354.248, 78.530, 352.052);(0.701, 0.155, 0.696)
R;(0.922, 1.113, -13.241);(354.989, 78.215, 351.713);(0.702, 0.155, 0.695)
R;(0.921, 1.107, -13.232);(355.865, 77.948, 352.005);(0.702, 0.154, 0.695)
R;(0.921, 1.104, -13.221);(356.332, 76.749, 351.292);(0.704, 0.152, 0.694)
R;(0.921, 1.101, -13.211);(357.236, 76.195, 349.703);(0.706, 0.151, 0.692)
R;(0.922, 1.098, -13.200);(357.767, 75.780, 348.065);(0.709, 0.150, 0.689)
R;(0.923, 1.095, -13.189);(358.916, 75.530, 347.021);(0.711, 0.150, 0.687)
R;(0.924, 1.093, -13.177);(0.369, 75.390, 346.473);(0.001, 0.213, 0.977)
R;(0.924, 1.092, -13.165);(1.611, 74.755, 344.908);(0.005, 0.212, 0.977)
R;(0.924, 1.092, -13.153);(2.242, 74.270, 343.599);(0.006, 0.211, 0.977)
R;(0.923, 1.093, -13.141);(2.539, 73.494, 342.617);(0.007, 0.210, 0.978)
R;(0.922, 1.094, -13.128);(2.731, 73.148, 342.555);(0.008, 0.209, 0.978)
R;(0.920, 1.097, -13.115);(2.437, 72.311, 343.155);(0.007, 0.206, 0.978)
R;(0.917, 1.100, -13.101);(2.195, 70.652, 343.183);(0.006, 0.202, 0.979)
R;(0.914, 1.105, -13.089);(1.447, 69.529, 343.389);(0.004, 0.198, 0.980)
R;(0.910, 1.112, -13.076);(359.733, 68.397, 343.851);(0.716, 0.136, 0.685)
R;(0.907, 1.119, -13.065);(358.322, 67.365, 343.655);(0.715, 0.134, 0.686)
R;(0.905, 1.127, -13.053);(357.339, 66.659, 342.599);(0.715, 0.133, 0.686)
