L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
R;(1.016, 1.383, -13.289);(1.013, 1.380, -13.286);0,004;(336.629, 348.097, 351.432);(335.648, 349.046, 349.745);0,9998701;(0.563, 0.582, 0.587);(0.562, 0.584, 0.586)
R;(1.009, 1.374, -13.315);(1.010, 1.375, -13.315);0,001;(333.109, 349.209, 354.600);(333.826, 348.745, 355.100);0,9999706;(0.556, 0.583, 0.592);(0.557, 0.582, 0.593)
R;(1.009, 1.374, -13.316);(1.010, 1.375, -13.315);0,002;(332.609, 349.350, 354.861);(333.614, 348.725, 355.147);0,9999496;(0.555, 0.583, 0.593);(0.557, 0.582, 0.593)
R;(1.009, 1.374, -13.316);(1.010, 1.374, -13.316);0,001;(332.609, 349.350, 354.861);(333.445, 348.708, 355.184);0,9999608;(0.555, 0.583, 0.593);(0.557, 0.582, 0.593)
R;(1.009, 1.375, -13.316);(1.010, 1.374, -13.316);0,001;(332.602, 349.241, 354.910);(333.445, 348.708, 355.184);0,9999644;(0.555, 0.583, 0.593);(0.557, 0.582, 0.593)
R;(1.009, 1.375, -13.316);(1.010, 1.375, -13.315);0,001;(332.602, 349.241, 354.910);(333.650, 348.728, 355.139);0,9999502;(0.555, 0.583, 0.593);(0.557, 0.582, 0.593)
R;(1.009, 1.375, -13.315);(1.010, 1.375, -13.315);0,001;(332.500, 348.560, 355.022);(333.650, 348.728, 355.139);0,9999475;(0.556, 0.582, 0.593);(0.557, 0.582, 0.593)
R;(1.008, 1.376, -13.315);(1.010, 1.375, -13.315);0,003;(332.364, 348.804, 354.437);(333.650, 348.728, 355.139);0,9999198;(0.556, 0.583, 0.593);(0.557, 0.582, 0.593)
R;(1.008, 1.376, -13.315);(1.010, 1.375, -13.315);0,003;(332.364, 348.804, 354.437);(333.650, 348.728, 355.139);0,9999198;(0.556, 0.583, 0.593);(0.557, 0.582, 0.593)
R;(1.008, 1.377, -13.315);(1.010, 1.375, -13.315);0,003;(332.594, 348.852, 354.258);(333.650, 348.728, 355.139);0,9999312;(0.556, 0.583, 0.592);(0.557, 0.582, 0.593)
