L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
R;(0.995, 1.356, -13.300);(0.998, 1.354, -13.304);0.005;(329.728, 320.945, 26.324);(331.377, 322.157, 24.681);-0.9998123;(0.715, 0.696, 0.057);(0.716, 0.696, 0.053)
R;(0.995, 1.356, -13.300);(0.998, 1.354, -13.304);0.005;(329.728, 320.945, 26.324);(331.377, 322.157, 24.681);-0.9998123;(0.715, 0.696, 0.057);(0.716, 0.696, 0.053)
R;(0.995, 1.356, -13.300);(0.998, 1.354, -13.304);0.005;(329.728, 320.945, 26.324);(331.377, 322.157, 24.681);-0.9998123;(0.715, 0.696, 0.057);(0.716, 0.696, 0.053)
R;(0.995, 1.359, -13.301);(0.998, 1.354, -13.304);0.007;(329.542, 320.129, 27.662);(331.377, 322.157, 24.681);-0.9996037;(0.716, 0.696, 0.060);(0.716, 0.696, 0.053)
R;(0.995, 1.359, -13.301);(0.998, 1.354, -13.304);0.007;(329.542, 320.129, 27.662);(331.377, 322.157, 24.681);-0.9996038;(0.716, 0.696, 0.060);(0.716, 0.696, 0.053)
R;(0.995, 1.359, -13.301);(0.998, 1.354, -13.304);0.007;(329.542, 320.129, 27.662);(331.377, 322.157, 24.681);-0.9996038;(0.716, 0.696, 0.060);(0.716, 0.696, 0.053)
R;(0.995, 1.359, -13.301);(0.998, 1.354, -13.304);0.007;(329.542, 320.129, 27.662);(331.377, 322.157, 24.681);-0.9996037;(0.716, 0.696, 0.060);(0.716, 0.696, 0.053)
R;(0.996, 1.361, -13.302);(0.998, 1.354, -13.304);0.007;(329.611, 320.969, 27.660);(331.377, 322.157, 24.681);-0.9996224;(0.715, 0.696, 0.060);(0.716, 0.696, 0.053)
R;(0.996, 1.361, -13.302);(0.998, 1.354, -13.304);0.007;(329.611, 320.969, 27.660);(331.377, 322.157, 24.681);-0.9996224;(0.715, 0.696, 0.060);(0.716, 0.696, 0.053)
R;(0.996, 1.361, -13.302);(0.998, 1.354, -13.304);0.007;(329.611, 320.969, 27.660);(331.377, 322.157, 24.681);-0.9996224;(0.715, 0.696, 0.060);(0.716, 0.696, 0.053)
R;(0.996, 1.361, -13.302);(0.998, 1.354, -13.304);0.007;(329.611, 320.969, 27.660);(331.377, 322.157, 24.680);-0.9996223;(0.715, 0.696, 0.060);(0.716, 0.696, 0.053)
R;(0.996, 1.361, -13.302);(0.998, 1.354, -13.304);0.007;(329.611, 320.969, 27.660);(331.377, 322.157, 24.680);-0.9996224;(0.715, 0.696, 0.060);(0.716, 0.696, 0.053)
R;(0.999, 1.360, -13.302);(0.998, 1.354, -13.304);0.006;(328.525, 321.252, 27.353);(331.377, 322.157, 24.680);-0.9994795;(0.714, 0.698, 0.059);(0.716, 0.696, 0.053)
R;(0.999, 1.360, -13.302);(0.998, 1.354, -13.304);0.006;(328.525, 321.252, 27.353);(331.377, 322.157, 24.681);-0.9994795;(0.714, 0.698, 0.059);(0.716, 0.696, 0.053)
R;(0.999, 1.360, -13.302);(0.998, 1.354, -13.304);0.006;(328.525, 321.252, 27.353);(331.377, 322.157, 24.681);-0.9994795;(0.714, 0.698, 0.059);(0.716, 0.696, 0.053)
R;(0.999, 1.360, -13.302);(0.998, 1.354, -13.304);0.006;(328.525, 321.252, 27.353);(331.377, 322.157, 24.680);-0.9994795;(0.714, 0.698, 0.059);(0.716, 0.696, 0.053)
R;(1.001, 1.357, -13.301);(0.998, 1.354, -13.304);0.004;(326.206, 322.094, 25.462);(331.377, 322.157, 24.680);-0.9989607;(0.710, 0.702, 0.055);(0.716, 0.696, 0.053)
R;(1.001, 1.357, -13.301);(0.998, 1.354, -13.304);0.004;(326.206, 322.094, 25.462);(331.377, 322.157, 24.680);-0.9989606;(0.710, 0.702, 0.055);(0.716, 0.696, 0.053)
