L/R;Position Real;Rotation Real;Rotation Real Normalized
R;(0.959, 1.396, -13.218);(342.940, 201.582, 87.953);(0.842, 0.495, 0.216)
R;(0.960, 1.395, -13.218);(342.791, 201.834, 86.767);(0.842, 0.496, 0.213)
R;(0.960, 1.394, -13.219);(342.170, 201.326, 86.066);(0.842, 0.496, 0.212)
R;(0.960, 1.393, -13.220);(342.370, 200.651, 85.943);(0.843, 0.494, 0.212)
R;(0.963, 1.391, -13.221);(342.191, 201.278, 86.426);(0.842, 0.495, 0.213)
R;(0.964, 1.390, -13.222);(342.501, 202.375, 86.650);(0.841, 0.497, 0.213)
R;(0.964, 1.389, -13.223);(342.931, 202.517, 86.075);(0.842, 0.497, 0.211)
R;(0.964, 1.389, -13.223);(343.204, 202.680, 84.759);(0.842, 0.497, 0.208)
R;(0.965, 1.390, -13.224);(343.045, 203.552, 82.158);(0.842, 0.500, 0.202)
R;(0.965, 1.390, -13.225);(342.971, 204.201, 80.236);(0.842, 0.502, 0.197)
R;(0.965, 1.390, -13.227);(342.498, 204.743, 78.118);(0.842, 0.504, 0.192)
R;(0.965, 1.390, -13.228);(342.006, 205.256, 76.815);(0.842, 0.505, 0.189)
R;(0.966, 1.389, -13.230);(341.778, 205.861, 76.121);(0.841, 0.507, 0.187)
R;(0.966, 1.387, -13.233);(341.442, 206.445, 76.569);(0.840, 0.508, 0.188)
R;(0.967, 1.385, -13.236);(341.531, 207.082, 75.637);(0.840, 0.509, 0.186)
R;(0.967, 1.384, -13.238);(341.656, 207.685, 74.367);(0.840, 0.511, 0.183)
R;(0.968, 1.381, -13.242);(341.840, 208.721, 72.882);(0.840, 0.513, 0.179)
R;(0.969, 1.379, -13.245);(341.995, 209.718, 71.214);(0.839, 0.515, 0.175)
R;(0.970, 1.377, -13.249);(342.161, 210.614, 69.272);(0.839, 0.517, 0.170)
R;(0.970, 1.374, -13.253);(342.815, 211.843, 66.276);(0.839, 0.519, 0.162)
R;(0.971, 1.371, -13.258);(343.621, 213.105, 63.156);(0.840, 0.521, 0.154)
R;(0.971, 1.368, -13.263);(344.618, 214.390, 59.800);(0.840, 0.523, 0.146)
R;(0.971, 1.364, -13.268);(345.370, 215.526, 56.982);(0.840, 0.524, 0.139)
R;(0.971, 1.360, -13.273);(345.873, 216.421, 54.982);(0.840, 0.526, 0.134)
R;(0.971, 1.355, -13.278);(346.463, 217.492, 53.527);(0.840, 0.527, 0.130)
R;(0.971, 1.350, -13.284);(346.807, 218.906, 52.541);(0.839, 0.529, 0.127)
R;(0.971, 1.344, -13.290);(347.269, 219.931, 50.927);(0.838, 0.531, 0.123)
R;(0.970, 1.339, -13.295);(348.071, 220.876, 48.605);(0.839, 0.532, 0.117)
